S,Trig,Condition
ildpilot4,4,side=r_itd=0_az=10_mag=0
ildpilot4,5,side=l_itd=0_az=30_mag=0
ildpilot4,6,side=r_itd=0_az=5_mag=1
ildpilot4,7,side=r_itd=0_az=30_mag=1
ildpilot4,8,side=l_itd=0_az=10_mag=1
ildpilot4,9,side=r_itd=0_az=5_mag=0
ildpilot4,10,side=l_itd=0_az=5_mag=0
ildpilot4,11,side=r_itd=0_az=30_mag=0
ildpilot4,12,side=l_itd=0_az=20_mag=1
ildpilot4,13,side=l_itd=0_az=20_mag=0
ildpilot4,14,side=l_itd=0_az=10_mag=0
ildpilot4,15,side=l_itd=0_az=5_mag=1
ildpilot4,16,side=r_itd=0_az=10_mag=1
ildpilot4,17,side=r_itd=0_az=20_mag=1
ildpilot4,18,side=l_itd=0_az=30_mag=1
ildpilot4,19,side=r_itd=0_az=20_mag=0
ildpilot4,1,Inhale
ildpilot4,2,Exhale
ildpilot4,3,Hold_Breath
ildpilot4,4,side=r_itd=0_az=10_mag=0
ildpilot4,5,side=l_itd=0_az=30_mag=0
ildpilot4,6,side=r_itd=0_az=5_mag=1
ildpilot4,7,side=r_itd=0_az=30_mag=1
ildpilot4,8,side=l_itd=0_az=10_mag=1
ildpilot4,9,side=r_itd=0_az=5_mag=0
ildpilot4,10,side=l_itd=0_az=5_mag=0
ildpilot4,11,side=r_itd=0_az=30_mag=0
ildpilot4,12,side=l_itd=0_az=20_mag=1
ildpilot4,13,side=l_itd=0_az=20_mag=0
ildpilot4,14,side=l_itd=0_az=10_mag=0
ildpilot4,15,side=l_itd=0_az=5_mag=1
ildpilot4,16,side=r_itd=0_az=10_mag=1
ildpilot4,17,side=r_itd=0_az=20_mag=1
ildpilot4,18,side=l_itd=0_az=30_mag=1
ildpilot4,19,side=r_itd=0_az=20_mag=0
