S,Trig,Condition
ildpilot6,4,side=r_itd=0_az=10_mag=0
ildpilot6,5,side=l_itd=0_az=30_mag=0
ildpilot6,6,side=r_itd=0_az=5_mag=1
ildpilot6,7,side=r_itd=0_az=30_mag=1
ildpilot6,8,side=l_itd=0_az=10_mag=1
ildpilot6,9,side=r_itd=0_az=5_mag=0
ildpilot6,10,side=l_itd=0_az=5_mag=0
ildpilot6,11,side=r_itd=0_az=30_mag=0
ildpilot6,12,side=l_itd=0_az=20_mag=1
ildpilot6,13,side=l_itd=0_az=20_mag=0
ildpilot6,14,side=l_itd=0_az=10_mag=0
ildpilot6,15,side=l_itd=0_az=5_mag=1
ildpilot6,16,side=r_itd=0_az=10_mag=1
ildpilot6,17,side=r_itd=0_az=20_mag=1
ildpilot6,18,side=l_itd=0_az=30_mag=1
ildpilot6,19,side=r_itd=0_az=20_mag=0
ildpilot6,1,Inhale
ildpilot6,2,Exhale
ildpilot6,3,Hold_Breath
ildpilot6,4,side=r_itd=0_az=10_mag=0
ildpilot6,5,side=l_itd=0_az=30_mag=0
ildpilot6,6,side=r_itd=0_az=5_mag=1
ildpilot6,7,side=r_itd=0_az=30_mag=1
ildpilot6,8,side=l_itd=0_az=10_mag=1
ildpilot6,9,side=r_itd=0_az=5_mag=0
ildpilot6,10,side=l_itd=0_az=5_mag=0
ildpilot6,11,side=r_itd=0_az=30_mag=0
ildpilot6,12,side=l_itd=0_az=20_mag=1
ildpilot6,13,side=l_itd=0_az=20_mag=0
ildpilot6,14,side=l_itd=0_az=10_mag=0
ildpilot6,15,side=l_itd=0_az=5_mag=1
ildpilot6,16,side=r_itd=0_az=10_mag=1
ildpilot6,17,side=r_itd=0_az=20_mag=1
ildpilot6,18,side=l_itd=0_az=30_mag=1
ildpilot6,19,side=r_itd=0_az=20_mag=0
