# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: lateralization-localizing
# 

S,Trial,Date,Block,Condition,cue,ref_cue,ref_value,Stim,Resp
lateralization_1_ITD,41,2024-11-15,41,5,none,itd,-100,$user[az],84.43525498214666
lateralization_1_ITD,42,2024-11-15,42,6,none,itd,-50,$user[az],86.29200109866633
lateralization_1_ITD,43,2024-11-15,43,8,none,itd,100,$user[az],75.157017731254
lateralization_1_ITD,44,2024-11-15,44,11,none,itd,500,$user[az],90.0
lateralization_1_ITD,45,2024-11-15,45,10,none,itd,400,$user[az],90.0
lateralization_1_ITD,46,2024-11-15,46,2,none,itd,-500,$user[az],90.0
lateralization_1_ITD,47,2024-11-15,47,7,none,itd,50,$user[az],90.0
lateralization_1_ITD,48,2024-11-15,48,9,none,itd,200,$user[az],90.0
lateralization_1_ITD,49,2024-11-15,49,6,none,itd,-50,$user[az],90.0
lateralization_1_ITD,50,2024-11-15,50,12,none,itd,800,$user[az],90.0
lateralization_1_ITD,51,2024-11-15,51,10,none,itd,400,$user[az],86.29200109866633
lateralization_1_ITD,52,2024-11-15,52,8,none,itd,100,$user[az],82.57850886562699
lateralization_1_ITD,53,2024-11-15,53,7,none,itd,50,$user[az],90.0
lateralization_1_ITD,54,2024-11-15,54,1,none,itd,-800,$user[az],90.0
lateralization_1_ITD,55,2024-11-15,55,11,none,itd,500,$user[az],86.29200109866633
lateralization_1_ITD,56,2024-11-15,56,2,none,itd,-500,$user[az],88.148747215186
lateralization_1_ITD,57,2024-11-15,57,9,none,itd,200,$user[az],88.148747215186
lateralization_1_ITD,58,2024-11-15,58,4,none,itd,-200,$user[az],88.148747215186
lateralization_1_ITD,59,2024-11-15,59,5,none,itd,-100,$user[az],78.87050996429335
lateralization_1_ITD,60,2024-11-15,60,3,none,itd,-400,$user[az],84.43525498214666
lateralization_1_ITD,61,2024-11-15,61,6,none,itd,-50,$user[az],88.148747215186
lateralization_1_ITD,62,2024-11-15,62,8,none,itd,100,$user[az],86.29200109866633
lateralization_1_ITD,63,2024-11-15,63,5,none,itd,-100,$user[az],90.0
lateralization_1_ITD,64,2024-11-15,64,3,none,itd,-400,$user[az],26.909085360270993
lateralization_1_ITD,65,2024-11-15,65,11,none,itd,500,$user[az],32.47383037812433
lateralization_1_ITD,66,2024-11-15,66,10,none,itd,400,$user[az],12.060609759819329
lateralization_1_ITD,67,2024-11-15,67,1,none,itd,-800,$user[az],75.157017731254
lateralization_1_ITD,68,2024-11-15,68,2,none,itd,-500,$user[az],36.187322611163665
lateralization_1_ITD,69,2024-11-15,69,12,none,itd,800,$user[az],15.774101992858661
lateralization_1_ITD,70,2024-11-15,70,4,none,itd,-200,$user[az],64.02203436384167
lateralization_1_ITD,71,2024-11-15,71,7,none,itd,50,$user[az],82.57850886562699
lateralization_1_ITD,72,2024-11-15,72,9,none,itd,200,$user[az],60.30854213080232
lateralization_1_ILD,1,2024-11-15,1,4,none,ild,-15,$user[az],62.165288247321996
lateralization_1_ILD,2,2024-11-15,2,2,none,ild,-60,$user[az],60.30854213080232
lateralization_1_ILD,3,2024-11-15,3,10,none,ild,30,$user[az],36.187322611163665
