# -*- coding: utf-8 -*-,,,,,,,,,,,,,
,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Experiment: mild-master,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Times,,,,,,
itd_pilot1,14,9/13/2024,14,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/10__side=l_itd=100_az=0_mag=0__l=dash-dash-dash-gash-gash-bash-dash-gash-gash-bash-dash-dash__r=dash-bash-gash-dash-bash-dash-dash-gash-bash-gash-bash-gash.wav,2601.831059,5105.870849,8393.8513,9033.792635,9849.830736,,
itd_pilot1,15,9/13/2024,15,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/10__side=r_itd=200_az=0_mag=0__l=dash-bash-gash-bash-gash-bash-gash-dash-gash-gash-dash-gash__r=dash-gash-dash-dash-bash-gash-bash-gash-bash-dash-dash-dash.wav,2724.616742,4344.153337,5448.344559,6008.239802,8392.205611,,
itd_pilot1,16,9/13/2024,16,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/10__side=r_itd=400_az=0_mag=0__l=gash-bash-dash-dash-gash-gash-gash-bash-dash-gash-gash-gash__r=gash-gash-dash-bash-gash-bash-gash-gash-bash-gash-gash-bash.wav,3308.903034,4228.923543,8524.779857,9380.828653,,,
itd_pilot1,17,9/13/2024,17,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/11__side=r_itd=200_az=0_mag=0__l=gash-dash-gash-gash-bash-gash-dash-gash-gash-gash-gash-bash__r=gash-gash-bash-dash-gash-bash-gash-gash-bash-gash-bash-gash.wav,3630.886184,4967.823742,8234.887389,10154.89219,,,
itd_pilot1,18,9/13/2024,18,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/11__side=l_itd=100_az=0_mag=0__l=gash-dash-bash-gash-gash-bash-dash-bash-dash-dash-gash-gash__r=gash-dash-gash-gash-gash-dash-bash-dash-dash-bash-dash-bash.wav,3501.857903,6114.455671,7645.865003,9256.037581,,,
itd_pilot1,19,9/13/2024,19,1,side=r_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=100_az=0_mag=0/11__side=r_itd=100_az=0_mag=0__l=dash-bash-gash-gash-gash-gash-gash-dash-dash-dash-gash-bash__r=gash-gash-bash-dash-dash-bash-gash-bash-dash-dash-bash-gash.wav,2771.460802,3587.353547,5739.433247,7363.38415,9744.23622,,
itd_pilot1,20,9/13/2024,20,4,side=l_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=200_az=0_mag=0/11__side=l_itd=200_az=0_mag=0__l=gash-dash-gash-bash-dash-bash-dash-gash-dash-gash-dash-gash__r=gash-dash-bash-dash-bash-dash-gash-gash-gash-bash-gash-bash.wav,2676.582834,5305.649939,9265.712366,10604.45734,,,
itd_pilot1,21,9/13/2024,21,7,side=r_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=50_az=0_mag=0/11__side=r_itd=50_az=0_mag=0__l=gash-gash-dash-gash-bash-dash-gash-bash-dash-dash-dash-dash__r=gash-bash-gash-gash-dash-dash-bash-gash-dash-bash-gash-bash.wav,2900.902539,4548.763245,7041.379579,9012.890733,,,
itd_pilot1,22,9/13/2024,22,8,side=l_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=400_az=0_mag=0/11__side=l_itd=400_az=0_mag=0__l=dash-dash-gash-gash-gash-bash-gash-gash-dash-bash-dash-dash__r=gash-bash-dash-dash-bash-gash-bash-gash-gash-dash-bash-dash.wav,2606.83185,5014.825977,9168.102368,,,,
itd_pilot1,23,9/13/2024,23,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/11__side=r_itd=400_az=0_mag=0__l=dash-gash-bash-dash-dash-gash-gash-gash-dash-gash-bash-dash__r=gash-dash-dash-gash-bash-gash-bash-gash-dash-bash-dash-bash.wav,3755.740713,6571.775582,9326.451999,,,,
