0_practice,0__practice__l=dae-gae-dae-bae-dae-dae-gae-gae-dae-dae-gae-gae-dae-gae-gae-gae__r=dae-bae-dae-dae-gae-dae-bae-gae-dae-bae-gae-bae-gae-gae-dae-bae.wav,Target,dae,11025,gae,37485,dae,52920,bae,79380,dae,116865,dae,132300,gae,169785,gae,185220,dae,222705,dae,238140,gae,264600,gae,291060,dae,317520,gae,343980,gae,381465,gae,396900
0_practice,0__practice__l=dae-gae-dae-bae-dae-dae-gae-gae-dae-dae-gae-gae-dae-gae-gae-gae__r=dae-bae-dae-dae-gae-dae-bae-gae-dae-bae-gae-bae-gae-gae-dae-bae.wav,Masker,dae,0,bae,26460,dae,63945,dae,90405,gae,105840,dae,143325,bae,158760,gae,196245,dae,211680,bae,249165,gae,275625,bae,302085,gae,328545,gae,355005,dae,370440,bae,407925
1_practice,1__practice__l=dae-dae-gae-dae-gae-dae-dae-bae-gae-dae-dae-gae-bae-gae-dae-dae__r=gae-bae-gae-dae-dae-bae-gae-dae-gae-gae-bae-dae-dae-gae-dae-bae.wav,Target,dae,0,dae,26460,gae,52920,dae,90405,gae,116865,dae,132300,dae,158760,bae,185220,gae,222705,dae,249165,dae,275625,gae,302085,bae,328545,gae,355005,dae,370440,dae,396900
1_practice,1__practice__l=dae-dae-gae-dae-gae-dae-dae-bae-gae-dae-dae-gae-bae-gae-dae-dae__r=gae-bae-gae-dae-dae-bae-gae-dae-gae-gae-bae-dae-dae-gae-dae-bae.wav,Masker,gae,11025,bae,37485,gae,63945,dae,79380,dae,105840,bae,143325,gae,169785,dae,196245,gae,211680,gae,238140,bae,264600,dae,291060,dae,317520,gae,343980,dae,381465,bae,407925
2_practice,2__practice__l=gae-dae-dae-dae-bae-gae-dae-dae-bae-gae-bae-dae-gae-dae-gae-dae__r=gae-gae-bae-gae-dae-dae-dae-gae-gae-gae-gae-gae-bae-dae-dae-bae.wav,Target,gae,0,dae,37485,dae,63945,dae,90405,bae,116865,gae,143325,dae,169785,dae,185220,bae,211680,gae,249165,bae,275625,dae,291060,gae,328545,dae,355005,gae,370440,dae,407925
2_practice,2__practice__l=gae-dae-dae-dae-bae-gae-dae-dae-bae-gae-bae-dae-gae-dae-gae-dae__r=gae-gae-bae-gae-dae-dae-dae-gae-gae-gae-gae-gae-bae-dae-dae-bae.wav,Masker,gae,11025,gae,26460,bae,52920,gae,79380,dae,105840,dae,132300,dae,158760,gae,196245,gae,222705,gae,238140,gae,264600,gae,302085,bae,317520,dae,343980,dae,381465,bae,396900
3_practice,3__practice__l=gae-dae-gae-gae-dae-dae-dae-gae-bae-dae-gae-bae-gae-dae-gae-dae__r=gae-bae-gae-bae-dae-dae-dae-gae-gae-dae-gae-gae-gae-gae-bae-gae.wav,Target,gae,0,dae,37485,gae,63945,gae,79380,dae,105840,dae,143325,dae,169785,gae,196245,bae,211680,dae,249165,gae,275625,bae,302085,gae,328545,dae,343980,gae,370440,dae,396900
3_practice,3__practice__l=gae-dae-gae-gae-dae-dae-dae-gae-bae-dae-gae-bae-gae-dae-gae-dae__r=gae-bae-gae-bae-dae-dae-dae-gae-gae-dae-gae-gae-gae-gae-bae-gae.wav,Masker,gae,11025,bae,26460,gae,52920,bae,90405,dae,116865,dae,132300,dae,158760,gae,185220,gae,222705,dae,238140,gae,264600,gae,291060,gae,317520,gae,355005,bae,381465,gae,407925
0_side=r_itd=50_az=0_mag=0,0__side=r_itd=50_az=0_mag=0__l=dae-gae-dae-dae-gae-gae-dae-gae-bae-dae-gae-dae-gae-dae-dae-bae__r=gae-bae-dae-bae-gae-dae-gae-gae-dae-dae-dae-bae-gae-gae-gae-dae.wav,Masker,dae,11025,gae,37485,dae,63945,dae,90405,gae,116865,gae,143325,dae,158760,gae,196245,bae,222705,dae,249165,gae,275625,dae,291060,gae,317520,dae,343980,dae,370440,bae,407925
0_side=r_itd=50_az=0_mag=0,0__side=r_itd=50_az=0_mag=0__l=dae-gae-dae-dae-gae-gae-dae-gae-bae-dae-gae-dae-gae-dae-dae-bae__r=gae-bae-dae-bae-gae-dae-gae-gae-dae-dae-dae-bae-gae-gae-gae-dae.wav,Target,gae,0,bae,26460,dae,52920,bae,79380,gae,105840,dae,132300,gae,169785,gae,185220,dae,211680,dae,238140,dae,264600,bae,302085,gae,328545,gae,355005,gae,381465,dae,396900
