0_practice,Target,gash,0,gash,2,dash,4,bash,6,dash,8
0_practice,Masker,dash,11025,dash,11027,bash,11029,gash,11031,gash,11033
1_practice,Target,gash,0,dash,2,bash,4,dash,6,dash,8
1_practice,Masker,dash,11025,bash,11027,dash,11029,gash,11031,gash,11033
0_side=l_itd=50_az=0_mag=0,Target,gash,0,gash,2,dash,4,gash,6,gash,8
0_side=l_itd=50_az=0_mag=0,Masker,dash,11025,dash,11027,gash,11029,bash,11031,bash,11033
1_side=l_itd=50_az=0_mag=0,Target,dash,0,gash,2,gash,4,gash,6,dash,8
1_side=l_itd=50_az=0_mag=0,Masker,gash,11025,dash,11027,dash,11029,dash,11031,bash,11033
0_side=r_itd=50_az=0_mag=0,Masker,dash,0,bash,2,dash,4,gash,6,gash,8
0_side=r_itd=50_az=0_mag=0,Target,bash,11025,dash,11027,bash,11029,dash,11031,dash,11033
1_side=r_itd=50_az=0_mag=0,Masker,bash,0,dash,2,dash,4,bash,6,bash,8
1_side=r_itd=50_az=0_mag=0,Target,gash,11025,gash,11027,bash,11029,gash,11031,dash,11033
0_side=l_itd=500_az=0_mag=0,Target,bash,0,bash,2,dash,4,gash,6,bash,8
0_side=l_itd=500_az=0_mag=0,Masker,dash,11025,dash,11027,gash,11029,dash,11031,gash,11033
1_side=l_itd=500_az=0_mag=0,Target,gash,0,bash,2,dash,4,gash,6,gash,8
1_side=l_itd=500_az=0_mag=0,Masker,dash,11025,gash,11027,bash,11029,bash,11031,bash,11033
0_side=r_itd=500_az=0_mag=0,Masker,gash,0,gash,2,dash,4,gash,6,dash,8
0_side=r_itd=500_az=0_mag=0,Target,bash,11025,dash,11027,bash,11029,bash,11031,gash,11033
1_side=r_itd=500_az=0_mag=0,Masker,gash,0,bash,2,bash,4,dash,6,gash,8
1_side=r_itd=500_az=0_mag=0,Target,dash,11025,dash,11027,dash,11029,bash,11031,dash,11033
0_side=l_itd=0_az=10_mag=0,Target,gash,0,bash,2,dash,4,gash,6,bash,8
0_side=l_itd=0_az=10_mag=0,Masker,bash,11025,dash,11027,gash,11029,dash,11031,dash,11033
1_side=l_itd=0_az=10_mag=0,Target,dash,0,dash,2,dash,4,bash,6,bash,8
1_side=l_itd=0_az=10_mag=0,Masker,bash,11025,gash,11027,gash,11029,gash,11031,gash,11033
0_side=r_itd=0_az=10_mag=0,Masker,bash,0,bash,2,bash,4,gash,6,gash,8
