,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
490,Linear,7.0,9.771551878655179e-17,0.037120463591640784,8.682487671527848e-13,-2.5679170568723206,-2.2295908187799998e-06,1,8,hbo,True,S1_D8 hbo,mild_master_41,,
491,ShortHbO,7.0,9.771551878655179e-17,0.34045525664723614,0.0004013078418633163,1.0227721428847207,410.4464813789867,1,8,hbo,False,S1_D8 hbo,mild_master_41,,
492,az_itd=0_az=15,7.0,9.771551878655179e-17,0.0007457101738384353,7.280115142411054e-09,5.686478134278134,0.041398215572347595,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.06385768527480569,
493,az_itd=0_az=5,7.0,9.771551878655179e-17,1.375212522408254e-06,7.269141827568459e-09,15.047522571230553,0.1093825757238125,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.10684116230367509,
494,az_itd=15_az=0,7.0,9.771551878655179e-17,2.4773639655964334e-06,7.2568502624763034e-09,13.799255403276801,0.10013913019524678,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.05545348528099336,
495,az_itd=5_az=0,7.0,9.771551878655179e-17,3.5565746610265154e-06,7.405089320664034e-09,13.081276065154757,0.09686801769073553,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.17946472033547717,
496,constant,7.0,9.771551878655179e-17,0.4801940459308752,8.606209878342895e-09,-0.7455949526673125,-0.006416746646888028,1,8,hbo,False,S1_D8 hbo,mild_master_41,,
728,Linear,7.0,2.1359893436310316e-15,0.46046085735394493,4.05940091344236e-12,-0.7808796464221917,-3.169903549974792e-06,3,5,hbo,False,S3_D5 hbo,mild_master_41,,
729,ShortHbO,7.0,2.1359893436310316e-15,0.0006455722821083363,0.0018762703518412976,5.8269213957985615,10932.879857446553,3,5,hbo,True,S3_D5 hbo,mild_master_41,,
730,az_itd=0_az=15,7.0,2.1359893436310316e-15,0.0037073262799109017,3.4037371750012045e-08,-4.268543180769818,-0.14528999107484114,3,5,hbo,True,S3_D5 hbo,mild_master_41,-0.03235724729756521,
731,az_itd=0_az=5,7.0,2.1359893436310316e-15,0.0007810121355415245,3.398606723225086e-08,5.641929611059363,0.19174699908109047,3,5,hbo,True,S3_D5 hbo,mild_master_41,0.04160286648269695,
732,az_itd=15_az=0,7.0,2.1359893436310316e-15,0.00039795487289212463,3.3928599381503024e-08,6.31610342395383,0.21429654272346907,3,5,hbo,True,S3_D5 hbo,mild_master_41,-0.012139475794507448,
733,az_itd=5_az=0,7.0,2.1359893436310316e-15,0.17635074456358013,3.462167467395456e-08,1.5037622172353382,0.052062766272106466,3,5,hbo,False,S3_D5 hbo,mild_master_41,0.13661698536485611,
734,constant,7.0,2.1359893436310316e-15,0.9684771559422916,4.023738076356421e-08,-0.04095274537798759,-0.001647831209087381,3,5,hbo,False,S3_D5 hbo,mild_master_41,,
742,Linear,7.0,4.2036608577866133e-17,0.7722657852268252,5.69477067100584e-13,-0.30085338222452496,-1.7132910173651345e-07,3,6,hbo,False,S3_D6 hbo,mild_master_41,,
743,ShortHbO,7.0,4.2036608577866133e-17,0.00016464790482710628,0.0002632144397258571,7.286602744211558,1917.9390588225383,3,6,hbo,True,S3_D6 hbo,mild_master_41,,
744,az_itd=0_az=15,7.0,4.2036608577866133e-17,7.843515556568819e-07,4.774966318754652e-09,-16.337380206263582,-0.07801044022159753,3,6,hbo,True,S3_D6 hbo,mild_master_41,-0.061332571959433375,
745,az_itd=0_az=5,7.0,4.2036608577866133e-17,0.2284842654999132,4.767769013800883e-09,1.319611664391294,0.006291603603735022,3,6,hbo,False,S3_D6 hbo,mild_master_41,-0.028869077844902655,
746,az_itd=15_az=0,7.0,4.2036608577866133e-17,1.663065787136354e-05,4.7597070795908174e-09,10.38860356073128,0.049446709915075056,3,6,hbo,True,S3_D6 hbo,mild_master_41,0.004302273790890762,
747,az_itd=5_az=0,7.0,4.2036608577866133e-17,0.021668552625028835,4.856935831626173e-09,-2.9414497365953545,-0.014286432622597347,3,6,hbo,True,S3_D6 hbo,mild_master_41,0.005441675330584036,
748,constant,7.0,4.2036608577866133e-17,0.5110310325947007,5.644740707715114e-09,0.6923383016253823,0.003908070194695141,3,6,hbo,False,S3_D6 hbo,mild_master_41,,
756,Linear,7.0,1.5654924416730166e-16,0.880756980888425,1.098975199503118e-12,-0.15557807596978376,-1.7097644707720434e-07,4,2,hbo,False,S4_D2 hbo,mild_master_41,,
757,ShortHbO,7.0,1.5654924416730166e-16,0.006592402155829847,0.0005079504656483971,3.814128094100613,1937.3881414410394,4,2,hbo,True,S4_D2 hbo,mild_master_41,,
758,az_itd=0_az=15,7.0,1.5654924416730166e-16,0.00507774725276223,9.214716212351372e-09,-4.017182150135993,-0.03701719348682668,4,2,hbo,True,S4_D2 hbo,mild_master_41,0.043373543653014705,
759,az_itd=0_az=5,7.0,1.5654924416730166e-16,0.4775430956972011,9.20082687403662e-09,0.750277473511817,0.0069031731412718235,4,2,hbo,False,S4_D2 hbo,mild_master_41,0.01473017896364046,
760,az_itd=15_az=0,7.0,1.5654924416730166e-16,0.019355414100679424,9.18526897668002e-09,3.0211297262670507,0.027749889149206543,4,2,hbo,True,S4_D2 hbo,mild_master_41,-0.10231521061190826,
761,az_itd=5_az=0,7.0,1.5654924416730166e-16,0.002791600133216418,9.372900741571832e-09,4.5020099289327655,0.04219689220145766,4,2,hbo,True,S4_D2 hbo,mild_master_41,0.06433897810324027,
762,constant,7.0,1.5654924416730166e-16,0.8012295212130058,1.0893204316353807e-08,-0.2615063163611085,-0.0028486417341386117,4,2,hbo,False,S4_D2 hbo,mild_master_41,,
770,Linear,7.0,8.888097652737247e-17,0.24539342779721277,8.280695463451149e-13,-1.2678471621795826,-1.0498656244209882e-06,4,3,hbo,False,S4_D3 hbo,mild_master_41,,
771,ShortHbO,7.0,8.888097652737247e-17,0.0006975800484016304,0.0003827368550677332,5.751164156037151,2201.182482059933,4,3,hbo,True,S4_D3 hbo,mild_master_41,,
