,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
518,Linear,7.0,4.1355609889625326e-16,0.536681669148884,1.8335681176859127e-12,-0.6495909537200755,-1.1910692622783156e-06,1,8,hbo,False,S1_D8 hbo,mild_master_41,,
519,ShortHbO,7.0,4.1355609889625326e-16,0.6761358395090781,0.0001657026910959934,0.4357552834995063,72.20582313516572,1,8,hbo,False,S1_D8 hbo,mild_master_41,,
520,az_itd=0_az=15,7.0,4.1355609889625326e-16,0.06692220571176165,1.8434654360575895e-08,-2.166904433929086,-0.039946134271882074,1,8,hbo,False,S1_D8 hbo,mild_master_41,0.06084715551554893,
521,az_itd=0_az=5,7.0,4.1355609889625326e-16,2.082925479301463e-05,1.8426934496258163e-08,10.040667595216897,0.18501872407576372,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.047267779787792334,
522,az_itd=15_az=0,7.0,4.1355609889625326e-16,1.3055117155352071e-05,1.8424293779150725e-08,10.774717201839726,0.19851655511396396,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.00027604604470762986,
523,az_itd=5_az=0,7.0,4.1355609889625326e-16,0.02106174423495867,1.8429277075388266e-08,2.9614475416230532,0.054577337288798676,1,8,hbo,True,S1_D8 hbo,mild_master_41,0.20655848828436285,
524,constant,7.0,4.1355609889625326e-16,0.868453678180577,1.788590772174685e-08,-0.17180300172988183,-0.0030728526352597806,1,8,hbo,False,S1_D8 hbo,mild_master_41,,
756,Linear,7.0,5.213739881051385e-14,0.7413531734978307,7.446355135452538e-12,-0.3434378760237684,-2.5573603918385002e-06,3,5,hbo,False,S3_D5 hbo,mild_master_41,,
757,ShortHbO,7.0,5.213739881051385e-14,0.09069526775042651,0.0018647076095527613,1.9609304847717322,3656.561996757834,3,5,hbo,False,S3_D5 hbo,mild_master_41,,
758,az_itd=0_az=15,7.0,5.213739881051385e-14,0.008164877283311986,1.7360277861089907e-07,-3.651205243790203,-0.6338593756006644,3,5,hbo,True,S3_D5 hbo,mild_master_41,-0.24911134041963395,
759,az_itd=0_az=5,7.0,5.213739881051385e-14,0.7449293605715072,1.7358312467254697e-07,-0.3384770650244435,-0.058753906576935765,3,5,hbo,False,S3_D5 hbo,mild_master_41,0.2038741871162445,
760,az_itd=15_az=0,7.0,5.213739881051385e-14,0.9621533889482177,1.735588542928908e-07,-0.049175173187195546,-0.008534786718024143,3,5,hbo,False,S3_D5 hbo,mild_master_41,-0.17662974219153948,
761,az_itd=5_az=0,7.0,5.213739881051385e-14,0.803050338727566,1.7360745072354382e-07,-0.2590486856360561,-0.044972781926560394,3,5,hbo,False,S3_D5 hbo,mild_master_41,0.11092568651914647,
762,constant,7.0,5.213739881051385e-14,0.5550669136671014,9.563832624735051e-08,0.6197243446168157,0.0592693990538885,3,5,hbo,False,S3_D5 hbo,mild_master_41,,
770,Linear,7.0,2.553600268984402e-16,0.6857761348265907,1.440808598194967e-12,-0.42186676254987465,-6.07829258774534e-07,3,6,hbo,False,S3_D6 hbo,mild_master_41,,
771,ShortHbO,7.0,2.553600268984402e-16,0.017091772594380734,0.00013020834065137723,3.1095587888575174,404.89049005504364,3,6,hbo,True,S3_D6 hbo,mild_master_41,,
