,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
672,Linear,7.0,3.14930679558234e-14,0.29583907320626573,6.642687860766693e-12,-1.1296579112474314,-7.503964893862371e-06,1,7,hbo,False,S1_D7 hbo,mild_master_25,,
673,ShortHbO,7.0,3.14930679558234e-14,0.041661419592735276,0.003694368120965114,2.488935911245606,9195.045485631024,1,7,hbo,True,S1_D7 hbo,mild_master_25,,
674,az_itd=0_az=15,7.0,3.14930679558234e-14,0.8468883949795785,1.4304022335230197e-07,0.20036985972505061,0.028660949488140658,1,7,hbo,False,S1_D7 hbo,mild_master_25,-0.2200525736968831,
675,az_itd=0_az=5,7.0,3.14930679558234e-14,0.2584816126660435,1.4298314190304648e-07,1.2298454251943454,0.17584716294937563,1,7,hbo,False,S1_D7 hbo,mild_master_25,0.17562924878192826,
676,az_itd=15_az=0,7.0,3.14930679558234e-14,0.44877433915278286,1.4300962960882403e-07,0.8022658878051401,0.11473174746280745,1,7,hbo,False,S1_D7 hbo,mild_master_25,0.120367069724689,
677,az_itd=5_az=0,7.0,3.14930679558234e-14,0.007091310336602,1.429534968456971e-07,3.758228504687499,0.5372519066902532,1,7,hbo,True,S1_D7 hbo,mild_master_25,0.1675237759088873,
678,constant,7.0,3.14930679558234e-14,0.5857901535900354,8.657779483180125e-08,0.5711021580390164,0.049444765466700895,1,7,hbo,False,S1_D7 hbo,mild_master_25,,
686,Linear,7.0,1.2034470468326408e-16,0.5364135006992854,1.0989268352356973e-12,-0.6500311818505153,-7.143367094755068e-07,1,8,hbo,False,S1_D8 hbo,mild_master_25,,
687,ShortHbO,7.0,1.2034470468326408e-16,0.0029812433465566295,0.00022758670136440666,4.447324343268015,1012.1518771819937,1,8,hbo,True,S1_D8 hbo,mild_master_25,,
688,az_itd=0_az=15,7.0,1.2034470468326408e-16,5.282954628541895e-05,9.99534374028289e-09,8.708187055512598,0.08704132297453032,1,8,hbo,True,S1_D8 hbo,mild_master_25,0.02718227967947002,
689,az_itd=0_az=5,7.0,1.2034470468326408e-16,0.001845865890051913,9.991215292919963e-09,4.854923384085564,0.048506584761030425,1,8,hbo,True,S1_D8 hbo,mild_master_25,0.11309591966835242,
690,az_itd=15_az=0,7.0,1.2034470468326408e-16,0.0030105028528874204,9.995509790098846e-09,4.439229413028045,0.044372361058416576,1,8,hbo,True,S1_D8 hbo,mild_master_25,0.10218520297690553,
691,az_itd=5_az=0,7.0,1.2034470468326408e-16,5.6971032816392196e-05,9.98799957597073e-09,8.607158468326798,0.08596829513196093,1,8,hbo,True,S1_D8 hbo,mild_master_25,0.06579629970470423,
692,constant,7.0,1.2034470468326408e-16,0.779257819911736,1.0022973449143678e-08,-0.2913090736858316,-0.002919783111047729,1,8,hbo,False,S1_D8 hbo,mild_master_25,,
910,Linear,7.0,3.2730622214977277e-15,0.8426845119495276,2.6935132409150093e-12,-0.2059594944773332,-5.547546254668587e-07,4,2,hbo,False,S4_D2 hbo,mild_master_25,,
911,ShortHbO,7.0,3.2730622214977277e-15,0.9010210399694034,0.0011904855928571857,-0.1289539633719998,-153.517835536199,4,2,hbo,False,S4_D2 hbo,mild_master_25,,
912,az_itd=0_az=15,7.0,3.2730622214977277e-15,0.28080465142973876,4.868929929734025e-08,1.16863446076346,0.05689999302929792,4,2,hbo,False,S4_D2 hbo,mild_master_25,-0.014982490196731896,
913,az_itd=0_az=5,7.0,3.2730622214977277e-15,0.7346381764668259,4.866965949132851e-08,0.3527786260928511,0.017169615607757763,4,2,hbo,False,S4_D2 hbo,mild_master_25,0.1458819185488753,
914,az_itd=15_az=0,7.0,3.2730622214977277e-15,0.48015846998525724,4.868319259398804e-08,0.7456576777858225,0.03630099633683308,4,2,hbo,False,S4_D2 hbo,mild_master_25,0.10059776858983521,
915,az_itd=5_az=0,7.0,3.2730622214977277e-15,0.016448744409130536,4.865731471071479e-08,3.1369669211291824,0.15263638671848465,4,2,hbo,True,S4_D2 hbo,mild_master_25,0.0684773806939343,
916,constant,7.0,3.2730622214977277e-15,0.9102323787250033,3.417999659463849e-08,-0.11688721481029964,-0.003995204604172819,4,2,hbo,False,S4_D2 hbo,mild_master_25,,
924,Linear,7.0,6.795900038518073e-17,0.4978970069440375,8.258074130151188e-13,0.7147569620866564,5.902515977953271e-07,4,3,hbo,False,S4_D3 hbo,mild_master_25,,
925,ShortHbO,7.0,6.795900038518073e-17,0.008894942051215465,0.00017102392904080383,3.5868081319434797,613.4300194404798,4,3,hbo,True,S4_D3 hbo,mild_master_25,,
926,az_itd=0_az=15,7.0,6.795900038518073e-17,0.09632277670775023,7.511172438144629e-09,1.9200492692159534,0.014421821150814605,4,3,hbo,False,S4_D3 hbo,mild_master_25,0.030589921071097082,
927,az_itd=0_az=5,7.0,6.795900038518073e-17,0.003430664472183012,7.508070045585604e-09,-4.331709816368563,-0.03252278071844592,4,3,hbo,True,S4_D3 hbo,mild_master_25,0.03375582700832065,
928,az_itd=15_az=0,7.0,6.795900038518073e-17,0.003656751269399119,7.511297219125993e-09,-4.279695065098483,-0.03214606164118147,4,3,hbo,True,S4_D3 hbo,mild_master_25,0.023696763600953057,
929,az_itd=5_az=0,7.0,6.795900038518073e-17,0.012848083464711427,7.505653539946022e-09,3.3152766646165213,0.024883318033679432,4,3,hbo,True,S4_D3 hbo,mild_master_25,0.051616490474579224,
930,constant,7.0,6.795900038518073e-17,0.4682637843103129,7.531935256619069e-09,-0.7668070955009167,-0.00577554139762902,4,3,hbo,False,S4_D3 hbo,mild_master_25,,
938,Linear,7.0,5.679925721405971e-16,0.5431143178037012,2.387407831437845e-12,-0.6390713286800519,-1.525723894938145e-06,4,4,hbo,False,S4_D4 hbo,mild_master_25,,
939,ShortHbO,7.0,5.679925721405971e-16,0.04247732723633139,0.0004944298890034428,2.475691503515508,1224.055875289939,4,4,hbo,True,S4_D4 hbo,mild_master_25,,
940,az_itd=0_az=15,7.0,5.679925721405971e-16,0.007606944177701819,2.1714786788645938e-08,3.704778815699483,0.08044848208200649,4,4,hbo,True,S4_D4 hbo,mild_master_25,-0.022179232264288425,
941,az_itd=0_az=5,7.0,5.679925721405971e-16,0.0007975981818529428,2.170581777701577e-08,5.621769256635331,0.1220250990689559,4,4,hbo,True,S4_D4 hbo,mild_master_25,0.1671919141877724,
942,az_itd=15_az=0,7.0,5.679925721405971e-16,0.00034629197448449606,2.171514753025158e-08,6.462077251206479,0.14032496086183127,4,4,hbo,True,S4_D4 hbo,mild_master_25,0.10843211296445703,
943,az_itd=5_az=0,7.0,5.679925721405971e-16,0.00029439006585719985,2.1698831663307263e-08,6.635709369070362,0.1439871405660886,4,4,hbo,True,S4_D4 hbo,mild_master_25,0.055868714096758434,
