,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
658,Linear,7.0,5.801448145744988e-17,0.022583546337700797,8.581517163488907e-13,-2.9123885661617073,-2.499271246726554e-06,1,7,hbo,True,S1_D7 hbo,mild_master_28,,
659,ShortHbO,7.0,5.801448145744988e-17,1.1208677198083303e-13,0.006587270838430402,157.0278774721685,1034385.1580930379,1,7,hbo,True,S1_D7 hbo,mild_master_28,,
660,az_itd=0_az=15,7.0,5.801448145744988e-17,5.609706785424778e-08,5.7262964029796895e-09,23.96039845934406,0.137204343511702,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.20314962620280594,
661,az_itd=0_az=5,7.0,5.801448145744988e-17,6.278762737812935e-08,5.731221973879024e-09,23.573634866546275,0.13510573415135071,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.05259833510887021,
662,az_itd=15_az=0,7.0,5.801448145744988e-17,2.891253047991131e-07,5.690910042346498e-09,18.895130753544315,0.10753048935679549,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.08460554008918357,
663,az_itd=5_az=0,7.0,5.801448145744988e-17,1.612148637132417e-06,5.819719311380486e-09,14.700299349175054,0.08555161600546805,1,7,hbo,True,S1_D7 hbo,mild_master_28,0.10683107685045784,
664,constant,7.0,5.801448145744988e-17,0.3224419089489553,7.112444922867108e-09,-1.0644903300383386,-0.007571128843322314,1,7,hbo,False,S1_D7 hbo,mild_master_28,,
672,Linear,7.0,8.014191780082894e-17,0.011456229682571916,1.0086157219075521e-12,-3.399118435346148,-3.4284042945159246e-06,1,8,hbo,True,S1_D8 hbo,mild_master_28,,
673,ShortHbO,7.0,8.014191780082894e-17,1.96632055607624e-13,0.007742249774167958,144.9091444844804,1121922.79115984,1,8,hbo,True,S1_D8 hbo,mild_master_28,,
674,az_itd=0_az=15,7.0,8.014191780082894e-17,1.802125251153382e-08,6.730316411789162e-09,28.222485177297212,0.1899462551702398,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.2269610990591213,
675,az_itd=0_az=5,7.0,8.014191780082894e-17,3.127997920711926e-08,6.736105607515038e-09,26.067189565161065,0.17559134180203895,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.052330792376173815,
676,az_itd=15_az=0,7.0,8.014191780082894e-17,1.4660302487539133e-07,6.688725584671109e-09,20.85211024007318,0.1394740432571599,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.07432434686986039,
677,az_itd=5_az=0,7.0,8.014191780082894e-17,1.3050452808594013e-06,6.840119623044482e-09,15.163607668100102,0.10372089036671929,1,8,hbo,True,S1_D8 hbo,mild_master_28,0.08936509894490498,
678,constant,7.0,8.014191780082894e-17,0.34013776811606267,8.359505241015864e-09,-1.0234921677565054,-0.008555888140499197,1,8,hbo,False,S1_D8 hbo,mild_master_28,,
952,Linear,7.0,1.399072944482583e-17,0.03632797650175723,4.214208775614378e-13,-2.5827211732419544,-1.0884126233241305e-06,2,6,hbo,True,S2_D6 hbo,mild_master_28,,
953,ShortHbO,7.0,1.399072944482583e-17,4.536191064977715e-13,0.003234874911486619,128.59260758348915,415981.000074473,2,6,hbo,True,S2_D6 hbo,mild_master_28,,
954,az_itd=0_az=15,7.0,1.399072944482583e-17,1.5094794278002534e-05,2.812067853907899e-09,10.541648859082713,0.029643831883811377,2,6,hbo,True,S2_D6 hbo,mild_master_28,0.037446633598822034,
955,az_itd=0_az=5,7.0,1.399072944482583e-17,2.0136824138813928e-06,2.814486701730893e-09,14.227181168336168,0.04004221220139833,2,6,hbo,True,S2_D6 hbo,mild_master_28,0.014689571349649941,
956,az_itd=15_az=0,7.0,1.399072944482583e-17,4.6650169602497917e-07,2.7946903309505455e-09,17.62442415965239,0.04925480778755172,2,6,hbo,True,S2_D6 hbo,mild_master_28,0.05941731786557313,
957,az_itd=5_az=0,7.0,1.399072944482583e-17,6.905682085207985e-08,2.857945946665333e-09,23.25171310109652,0.06645213921030402,2,6,hbo,True,S2_D6 hbo,mild_master_28,0.06253940006606173,
958,constant,7.0,1.399072944482583e-17,0.3789883397659272,3.492777237286853e-09,-0.9390086979355623,-0.003279748205763698,2,6,hbo,False,S2_D6 hbo,mild_master_28,,
966,Linear,7.0,1.7485079588086005e-17,0.042409841647244824,4.71117975181805e-13,-2.476776994783288,-1.1668541627591786e-06,2,7,hbo,True,S2_D7 hbo,mild_master_28,,
967,ShortHbO,7.0,1.7485079588086005e-17,1.1676001411484882e-13,0.0036163555234489195,156.1140042625469,564563.7416025897,2,7,hbo,True,S2_D7 hbo,mild_master_28,,
968,az_itd=0_az=15,7.0,1.7485079588086005e-17,5.913774643113295e-07,3.1436878995483367e-09,17.02528653435338,0.05352218726438996,2,7,hbo,True,S2_D7 hbo,mild_master_28,0.07931453463256265,
969,az_itd=0_az=5,7.0,1.7485079588086005e-17,0.0005353232161220172,3.1463919959738292e-09,6.012917570393093,0.01891899571593523,2,7,hbo,True,S2_D7 hbo,mild_master_28,-0.004015605588624719,
970,az_itd=15_az=0,7.0,1.7485079588086005e-17,1.1863829966785572e-06,3.1242610892851218e-09,15.377095907747982,0.0480420624107825,2,7,hbo,True,S2_D7 hbo,mild_master_28,0.06171477907993387,
