,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
574,Linear,7.0,2.172192622122457e-17,0.5548906847719226,4.2324579095048167e-13,0.620007761464075,2.6241567539629995e-07,1,7,hbo,False,S1_D7 hbo,mild_master_33,,
575,ShortHbO,7.0,2.172192622122457e-17,1.1132379721932428e-05,0.0014407323774941598,11.035832974521707,15899.681879011103,1,7,hbo,True,S1_D7 hbo,mild_master_33,,
576,az_itd=0_az=15,7.0,2.172192622122457e-17,3.10390589845977e-05,3.467062723592888e-09,-9.449342982511258,-0.03276146481710882,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.05126135434105076,
577,az_itd=0_az=5,7.0,2.172192622122457e-17,0.00011762883393590395,3.4596043586589673e-09,-7.685666937118832,-0.026589366834857422,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.08788595322685194,
578,az_itd=15_az=0,7.0,2.172192622122457e-17,0.1633952474170534,3.4617673867972066e-09,1.5571355963061804,0.0053904412241137555,1,7,hbo,False,S1_D7 hbo,mild_master_33,0.04963645829958031,
579,az_itd=5_az=0,7.0,2.172192622122457e-17,0.0010295667268498327,3.523964731504406e-09,5.380726460948762,0.018961490278255954,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.07144352034183332,
580,constant,7.0,2.172192622122457e-17,0.9020196553485997,4.165587664101024e-09,0.12764478916966446,0.0005317155591519303,1,7,hbo,False,S1_D7 hbo,mild_master_33,,
588,Linear,7.0,3.374422311236606e-17,0.23876639068160835,5.275251840613284e-13,1.2877558327356384,6.793236326899169e-07,1,8,hbo,False,S1_D8 hbo,mild_master_33,,
589,ShortHbO,7.0,3.374422311236606e-17,1.1792047508789705e-05,0.0017957003445065376,10.940833671299783,19646.458792741745,1,8,hbo,True,S1_D8 hbo,mild_master_33,,
590,az_itd=0_az=15,7.0,3.374422311236606e-17,2.9280420984317767e-05,4.32127841675215e-09,-9.533855534742653,-0.041198444150716454,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.01586872986622701,
591,az_itd=0_az=5,7.0,3.374422311236606e-17,3.10981615042264e-06,4.3119824581893315e-09,-13.343633450552113,-0.0575375133672891,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.05653298509746284,
592,az_itd=15_az=0,7.0,3.374422311236606e-17,0.02375007848441175,4.314678413686472e-09,-2.877091199007956,-0.012413723290566956,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.03544171679624853,
593,az_itd=5_az=0,7.0,3.374422311236606e-17,0.03001164952187058,4.392199954163244e-09,2.714304451104636,0.01192176788572687,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.060555488841395146,
594,constant,7.0,3.374422311236606e-17,0.9355146169421,5.191906089115926e-09,0.08386127897509382,0.00043539988495183896,1,8,hbo,False,S1_D8 hbo,mild_master_33,,
798,Linear,7.0,2.1189448328410505e-17,0.17400051712453574,4.1802601080777184e-13,1.5131719849807832,6.325452485475945e-07,2,6,hbo,False,S2_D6 hbo,mild_master_33,,
799,ShortHbO,7.0,2.1189448328410505e-17,0.00014894678979307814,0.0014229642001943575,7.403752891067782,10535.275311074929,2,6,hbo,True,S2_D6 hbo,mild_master_33,,
800,az_itd=0_az=15,7.0,2.1189448328410505e-17,2.765288160796382e-06,3.424304341713889e-09,-13.577141571238512,-0.04649226483045617,2,6,hbo,True,S2_D6 hbo,mild_master_33,-0.022237376925709717,
801,az_itd=0_az=5,7.0,2.1189448328410505e-17,0.0005178382414821873,3.4169379588528246e-09,-6.046335295399337,-0.0206599525828016,2,6,hbo,True,S2_D6 hbo,mild_master_33,0.026756378156318147,
802,az_itd=15_az=0,7.0,2.1189448328410505e-17,0.3786009247028883,3.419074310928205e-09,-0.9398177166250727,-0.0032133066118679894,2,6,hbo,False,S2_D6 hbo,mild_master_33,0.026191995043533638,
803,az_itd=5_az=0,7.0,2.1189448328410505e-17,0.09796285062930789,3.4805045919769498e-09,1.9085740146427572,0.006642800622091999,2,6,hbo,False,S2_D6 hbo,mild_master_33,0.03527679418171507,
804,constant,7.0,2.1189448328410505e-17,0.5321738652683023,4.114214556000026e-09,-0.6570091679257358,-0.002703076682105528,2,6,hbo,False,S2_D6 hbo,mild_master_33,,
812,Linear,7.0,8.808251662953468e-17,0.07440686772890853,8.522918547889922e-13,2.095106690231707,1.785642366998408e-06,3,5,hbo,False,S3_D5 hbo,mild_master_33,,
813,ShortHbO,7.0,8.808251662953468e-17,0.8136379719141068,0.002901208934674828,0.2447925971333072,710.1944699454066,3,5,hbo,False,S3_D5 hbo,mild_master_33,,
814,az_itd=0_az=15,7.0,8.808251662953468e-17,0.0002149727096248175,6.981638996869497e-09,-6.981981782331139,-0.04874567628695548,3,5,hbo,True,S3_D5 hbo,mild_master_33,-0.04339637819797848,
815,az_itd=0_az=5,7.0,8.808251662953468e-17,2.887996499543242e-06,6.9666200555849325e-09,-13.490355606949558,-0.09398218192834744,3,5,hbo,True,S3_D5 hbo,mild_master_33,0.0189876327986577,
816,az_itd=15_az=0,7.0,8.808251662953468e-17,0.9346566896784347,6.9709757545743085e-09,-0.08498003959615616,-0.0005923937956475693,3,5,hbo,False,S3_D5 hbo,mild_master_33,0.04584831249697134,
817,az_itd=5_az=0,7.0,8.808251662953468e-17,0.04938857511630169,7.096222812942932e-09,-2.372989892457944,-0.016839265009743053,3,5,hbo,True,S3_D5 hbo,mild_master_33,0.09222655002463717,
818,constant,7.0,8.808251662953468e-17,0.7511786376945833,8.388261649454136e-09,-0.3298305427412959,-0.0027667048924954556,3,5,hbo,False,S3_D5 hbo,mild_master_33,,
826,Linear,7.0,1.948173048760958e-17,0.012325879225781792,4.008272565654046e-13,3.3455344818789987,1.3409814081165213e-06,3,6,hbo,True,S3_D6 hbo,mild_master_33,,
827,ShortHbO,7.0,1.948173048760958e-17,6.9823047745003455e-06,0.001364419490195239,11.833677117870783,16146.099700300318,3,6,hbo,True,S3_D6 hbo,mild_master_33,,
828,az_itd=0_az=15,7.0,1.948173048760958e-17,3.293095814624365e-08,3.2834189247743905e-09,-25.874601421732915,-0.0849571559791122,3,6,hbo,True,S3_D6 hbo,mild_master_33,-0.041109652842769046,
829,az_itd=0_az=5,7.0,1.948173048760958e-17,1.7585703876548315e-07,3.2763556154188186e-09,-20.30936160284135,-0.06654069093304059,3,6,hbo,True,S3_D6 hbo,mild_master_33,0.024668060987944506,
830,az_itd=15_az=0,7.0,1.948173048760958e-17,2.946172627515786e-05,3.278404072020306e-09,-9.5248802362636,-0.031226406152072318,3,6,hbo,True,S3_D6 hbo,mild_master_33,0.036211861761220605,
831,az_itd=5_az=0,7.0,1.948173048760958e-17,1.672277109036467e-05,3.337306940229942e-09,-10.379939605000557,-0.034641044482936,3,6,hbo,True,S3_D6 hbo,mild_master_33,0.015345568030714456,
832,constant,7.0,1.948173048760958e-17,0.5720566940886604,3.944944311518629e-09,0.5926477989205176,0.002337962563085532,3,6,hbo,False,S3_D6 hbo,mild_master_33,,
840,Linear,7.0,1.1307859844349471e-15,0.5310515889063687,3.053751471305826e-12,-0.658862080467209,-2.0120010476143573e-06,4,2,hbo,False,S4_D2 hbo,mild_master_33,,
841,ShortHbO,7.0,1.1307859844349471e-15,0.002140140816628334,0.010394996740901965,-4.726950363151411,-49136.63361936427,4,2,hbo,True,S4_D2 hbo,mild_master_33,,
842,az_itd=0_az=15,7.0,1.1307859844349471e-15,4.0586751934363706e-05,2.5015128607670132e-08,9.069066720904107,0.22686387037495748,4,2,hbo,True,S4_D2 hbo,mild_master_33,0.3060734799151334,
843,az_itd=0_az=5,7.0,1.1307859844349471e-15,0.5284741197623202,2.496131592157266e-08,0.6631268084578771,0.01655251776198127,4,2,hbo,False,S4_D2 hbo,mild_master_33,0.100939678064194,
844,az_itd=15_az=0,7.0,1.1307859844349471e-15,0.28977814213976044,2.4976922338696832e-08,1.1451696022858886,0.02860281222093098,4,2,hbo,False,S4_D2 hbo,mild_master_33,0.09510753142094422,
