,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
644,Linear,7.0,5.258835671324576e-17,0.6135782249045951,7.428523837481946e-13,0.5283633179928664,3.924959502561061e-07,1,7,hbo,False,S1_D7 hbo,mild_master_43,,
645,ShortHbO,7.0,5.258835671324576e-17,4.901087137413277e-07,0.001141184925503689,17.49808514935477,19968.55099762363,1,7,hbo,True,S1_D7 hbo,mild_master_43,,
646,az_itd=0_az=15,7.0,5.258835671324576e-17,0.052507134062351773,6.609846194604245e-09,-2.3313795659744927,-0.015410060352334597,1,7,hbo,False,S1_D7 hbo,mild_master_43,-0.023265867917332025,
647,az_itd=0_az=5,7.0,5.258835671324576e-17,1.0804834394303054e-05,6.609741834967061e-09,-11.085408865942314,-0.07327169073893369,1,7,hbo,True,S1_D7 hbo,mild_master_43,-0.04545035316327249,
648,az_itd=15_az=0,7.0,5.258835671324576e-17,0.00036738768364463466,6.619365030998404e-09,-6.399697226073293,-0.04236193202724705,1,7,hbo,True,S1_D7 hbo,mild_master_43,-0.05836212079054409,
649,az_itd=5_az=0,7.0,5.258835671324576e-17,1.1287106210165619e-05,6.603352295373208e-09,-11.012987118692127,-0.07272263376913123,1,7,hbo,True,S1_D7 hbo,mild_master_43,-0.07349278423393689,
650,constant,7.0,5.258835671324576e-17,0.5315238795182823,6.662173037611837e-09,0.6580820179209922,0.004384256276330424,1,7,hbo,False,S1_D7 hbo,mild_master_43,,
658,Linear,7.0,3.9716140087605844e-17,0.40828417288932806,6.455668752782538e-13,0.8795436005997852,5.67804213910188e-07,1,8,hbo,False,S1_D8 hbo,mild_master_43,,
659,ShortHbO,7.0,3.9716140087605844e-17,7.034791605240616e-07,0.0009917329507039547,16.59924469262492,16462.017918473874,1,8,hbo,True,S1_D8 hbo,mild_master_43,,
660,az_itd=0_az=15,7.0,3.9716140087605844e-17,0.0010204950451866764,5.744206853574481e-09,-5.388965125804096,-0.030955330409317753,1,8,hbo,True,S1_D8 hbo,mild_master_43,-0.03542112192469645,
661,az_itd=0_az=5,7.0,3.9716140087605844e-17,3.526044773348961e-06,5.7441161610945805e-09,-13.097980398975272,-0.07523632088745391,1,8,hbo,True,S1_D8 hbo,mild_master_43,-0.05346955487412675,
662,az_itd=15_az=0,7.0,3.9716140087605844e-17,8.223575247795545e-05,5.752479083161005e-09,-8.129795044141467,-0.04676647594180979,1,8,hbo,True,S1_D8 hbo,mild_master_43,-0.060086802575133554,
663,az_itd=5_az=0,7.0,3.9716140087605844e-17,8.304083023689891e-06,5.7385634090265885e-09,-11.531222123859308,-0.06617264934133689,1,8,hbo,True,S1_D8 hbo,mild_master_43,-0.060088623184052004,
664,constant,7.0,3.9716140087605844e-17,0.6895116321921453,5.789680863313995e-09,0.4165095700011349,0.0024114574868227116,1,8,hbo,False,S1_D8 hbo,mild_master_43,,
938,Linear,7.0,2.7189650432772654e-17,0.8115704422171965,5.341454499526765e-13,-0.24757196799121123,-1.3223944023833514e-07,2,6,hbo,False,S2_D6 hbo,mild_master_43,,
939,ShortHbO,7.0,2.7189650432772654e-17,2.9410389155322263e-07,0.0008205650932110388,18.848300192178613,15466.257204064683,2,6,hbo,True,S2_D6 hbo,mild_master_43,,
940,az_itd=0_az=15,7.0,2.7189650432772654e-17,0.10431870069627901,4.752787157955259e-09,1.8658039005660878,0.008867768817873335,2,6,hbo,False,S2_D6 hbo,mild_master_43,-0.00282770619883739,
941,az_itd=0_az=5,7.0,2.7189650432772654e-17,0.8415074192328004,4.752712118517303e-09,-0.20752590188559375,-0.0009863108687978943,2,6,hbo,False,S2_D6 hbo,mild_master_43,-0.014678711588839826,
942,az_itd=15_az=0,7.0,2.7189650432772654e-17,0.00935000478177551,4.7596316445046985e-09,3.549500089994344,0.016894312950509357,2,6,hbo,True,S2_D6 hbo,mild_master_43,-0.002743610575830612,
943,az_itd=5_az=0,7.0,2.7189650432772654e-17,0.07051083572501406,4.748117742062416e-09,2.1315288337917866,0.010120749873444393,2,6,hbo,False,S2_D6 hbo,mild_master_43,0.0046014278828671925,
944,constant,7.0,2.7189650432772654e-17,0.6469102967213378,4.7904125943331645e-09,0.4784527364382662,0.0022919860144270366,2,6,hbo,False,S2_D6 hbo,mild_master_43,,
952,Linear,7.0,4.2802505092825434e-17,0.35123708743848514,6.701813145808142e-13,0.9986263455042448,6.692607170050691e-07,2,7,hbo,False,S2_D7 hbo,mild_master_43,,
953,ShortHbO,7.0,4.2802505092825434e-17,1.6569294558426055e-07,0.0010295461524871623,20.485431044246205,21090.69671364475,2,7,hbo,True,S2_D7 hbo,mild_master_43,,
