,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
686,Linear,7.0,3.5438838171885605e-17,0.18481231155709324,6.366205103873602e-13,-1.4708034258975726,-9.363436276743905e-07,1,7,hbo,False,S1_D7 hbo,mild_master_22,,
687,ShortHbO,7.0,3.5438838171885605e-17,6.458112570079761e-13,0.004433590978315701,122.26186078733775,542059.0829788309,1,7,hbo,True,S1_D7 hbo,mild_master_22,,
688,az_itd=0_az=15,7.0,3.5438838171885605e-17,0.1252647205165614,4.544169829873355e-09,1.7407886637321643,0.007910439325917255,1,7,hbo,False,S1_D7 hbo,mild_master_22,0.017872949235303075,
689,az_itd=0_az=5,7.0,3.5438838171885605e-17,0.0008570262874730352,4.4606990002819695e-09,5.553196423869896,0.024771137736325853,1,7,hbo,True,S1_D7 hbo,mild_master_22,0.0009382629919933228,
690,az_itd=15_az=0,7.0,3.5438838171885605e-17,0.0006191008625693037,4.46673694127417e-09,5.868148430171623,0.02621147536992762,1,7,hbo,True,S1_D7 hbo,mild_master_22,-0.01644271578612495,
691,az_itd=5_az=0,7.0,3.5438838171885605e-17,5.343340189293371e-06,4.449580895379916e-09,12.314690830825477,0.05479521305335126,1,7,hbo,True,S1_D7 hbo,mild_master_22,0.03490854877819058,
692,constant,7.0,3.5438838171885605e-17,0.9986394359849028,5.4964103937787045e-09,0.001767006541728183,9.712193121829749e-06,1,7,hbo,False,S1_D7 hbo,mild_master_22,,
700,Linear,7.0,3.713976515287152e-17,0.34971250883106525,6.51719124298669e-13,-1.0020052322714088,-6.530259725186068e-07,1,8,hbo,False,S1_D8 hbo,mild_master_22,,
701,ShortHbO,7.0,3.713976515287152e-17,1.8538654718131828e-13,0.004538741656514113,146.13377223029107,663263.4394451674,1,8,hbo,True,S1_D8 hbo,mild_master_22,,
702,az_itd=0_az=15,7.0,3.713976515287152e-17,0.7666483032080817,4.651943086765328e-09,0.30854380921707775,0.0014353282402516248,1,8,hbo,False,S1_D8 hbo,mild_master_22,-0.04503359015344821,
703,az_itd=0_az=5,7.0,3.713976515287152e-17,7.750859390409137e-05,4.566492594551872e-09,8.205253170942399,0.03746922784153173,1,8,hbo,True,S1_D8 hbo,mild_master_22,-0.031131643928983287,
704,az_itd=15_az=0,7.0,3.713976515287152e-17,0.18581941264045948,4.57267373630241e-09,-1.466972249416293,-0.006707985476790351,1,8,hbo,False,S1_D8 hbo,mild_master_22,-0.034067169513164006,
705,az_itd=5_az=0,7.0,3.713976515287152e-17,0.00010505789162105179,4.555110803559592e-09,7.823694416502374,0.03563779496035882,1,8,hbo,True,S1_D8 hbo,mild_master_22,-0.015981382380441427,
706,constant,7.0,3.713976515287152e-17,0.8882935483740341,5.6267677685093335e-09,-0.14566255737707934,-0.0008196093829279915,1,8,hbo,False,S1_D8 hbo,mild_master_22,,
980,Linear,7.0,7.891598751367493e-17,0.960177607503966,9.499995211635076e-13,-0.0517449164273647,-4.915764582864218e-08,2,8,hbo,False,S2_D8 hbo,mild_master_22,,
981,ShortHbO,7.0,7.891598751367493e-17,4.31724582477835e-12,0.0066160439975017,93.18676657138462,616527.7476212012,2,8,hbo,True,S2_D8 hbo,mild_master_22,,
982,az_itd=0_az=15,7.0,7.891598751367493e-17,1.9501343156800994e-05,6.781055734190271e-09,-10.141398050247409,-0.06876938540133622,2,8,hbo,True,S2_D8 hbo,mild_master_22,-0.046325706862956555,
983,az_itd=0_az=5,7.0,7.891598751367493e-17,0.052905963742560146,6.656496052481794e-09,2.3262406798116473,0.015484611902288791,2,8,hbo,False,S2_D8 hbo,mild_master_22,-7.15581808026883e-05,
984,az_itd=15_az=0,7.0,7.891598751367493e-17,0.0035573143913341008,6.665506194250419e-09,-4.3021238194822775,-0.02867583296719139,2,8,hbo,True,S2_D8 hbo,mild_master_22,-0.0811731593563145,
985,az_itd=5_az=0,7.0,7.891598751367493e-17,0.0026929521531847056,6.639905015653951e-09,4.532100222932109,0.0300927150016933,2,8,hbo,True,S2_D8 hbo,mild_master_22,0.011340554134010802,
986,constant,7.0,7.891598751367493e-17,0.9039176689575678,8.202040551647875e-09,0.12515719869965417,0.001026544419065214,2,8,hbo,False,S2_D8 hbo,mild_master_22,,
994,Linear,7.0,4.066355424290102e-17,0.7504267369610499,6.819359039262267e-13,0.3308693940202811,2.2563171929274327e-07,3,5,hbo,False,S3_D5 hbo,mild_master_22,,
995,ShortHbO,7.0,4.066355424290102e-17,6.996526128151817e-13,0.004749179176770849,120.87063068383546,574036.282326831,3,5,hbo,True,S3_D5 hbo,mild_master_22,,
996,az_itd=0_az=15,7.0,4.066355424290102e-17,0.024140424328567625,4.867629160492251e-09,-2.8656869583678697,-0.013949101403393786,3,5,hbo,True,S3_D5 hbo,mild_master_22,-0.07510510439225358,
997,az_itd=0_az=5,7.0,4.066355424290102e-17,0.001500493351325074,4.778216779489574e-09,5.037614393800011,0.024070813625053412,3,5,hbo,True,S3_D5 hbo,mild_master_22,0.05510859961265647,
998,az_itd=15_az=0,7.0,4.066355424290102e-17,0.006063919750950033,4.784684508193231e-09,-3.8786024755816664,-0.018557889178355512,3,5,hbo,True,S3_D5 hbo,mild_master_22,-0.07829082745439307,
999,az_itd=5_az=0,7.0,4.066355424290102e-17,0.003676868588212492,4.766307274859075e-09,-4.275238981929259,-0.020377102661330533,3,5,hbo,True,S3_D5 hbo,mild_master_22,-0.07690825978259895,
1000,constant,7.0,4.066355424290102e-17,0.9118497894686467,5.887651322999862e-09,-0.11477048389909714,-0.0006757285913698536,3,5,hbo,False,S3_D5 hbo,mild_master_22,,
1008,Linear,7.0,1.559932804389879e-17,0.42376820727977194,4.223707494193583e-13,-0.8493711922776674,-3.5874954701753226e-07,3,6,hbo,False,S3_D6 hbo,mild_master_22,,
1009,ShortHbO,7.0,1.559932804389879e-17,1.3263467847249258e-13,0.0029414998630670703,153.29599691576414,450920.1539364502,3,6,hbo,True,S3_D6 hbo,mild_master_22,,
1010,az_itd=0_az=15,7.0,1.559932804389879e-17,3.308036252835047e-05,3.0148642483488455e-09,9.357801598377442,0.028212501482089834,3,6,hbo,True,S3_D6 hbo,mild_master_22,-0.025388469950466737,
1011,az_itd=0_az=5,7.0,1.559932804389879e-17,0.00015222892616658238,2.959484887687472e-09,7.378147508399238,0.02183551605023652,3,6,hbo,True,S3_D6 hbo,mild_master_22,0.04222027472916702,
1012,az_itd=15_az=0,7.0,1.559932804389879e-17,0.003489172175934965,2.963490805844702e-09,-4.317895469147868,-0.012796043523418206,3,6,hbo,True,S3_D6 hbo,mild_master_22,-0.029505236311552527,
1013,az_itd=5_az=0,7.0,1.559932804389879e-17,0.021237268348164723,2.952108495907782e-09,2.9556009816549613,0.00872525476845699,3,6,hbo,True,S3_D6 hbo,mild_master_22,-0.013073076042613797,
1014,constant,7.0,1.559932804389879e-17,0.5787365256948578,3.6466355375891053e-09,-0.5821314035041585,-0.0021228210635648877,3,6,hbo,False,S3_D6 hbo,mild_master_22,,
1022,Linear,7.0,5.813949441002675e-17,0.263479726380144,8.154109027646856e-13,1.2157643651860126,9.913475185654613e-07,4,2,hbo,False,S4_D2 hbo,mild_master_22,,
