S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,small_itd,Target,bash,non-bash,4.36342082040177,2.71242156989045,Fp1
mild_master_1 ,small_itd,Target,non-bash,bash,4.50209692681537,1.73103017842068,Fp1
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.47308927081155,0.139727230697659,Fp1
mild_master_1 ,small_itd,Masker,bash,non-bash,1.53418189220958,1.26507749546457,Fp1
mild_master_1 ,small_itd,Masker,non-bash,bash,2.45308334900112,-0.103080174254208,Fp1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,2.75521869671928,0.734504127752531,Fp1
mild_master_1 ,large_itd,Target,bash,non-bash,2.5231281374182,2.4097765811852,Fp1
mild_master_1 ,large_itd,Target,non-bash,bash,1.84912018113666,1.37607872303989,Fp1
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.99038998051123,1.64977087664914,Fp1
mild_master_1 ,large_itd,Masker,bash,non-bash,2.29763045370579,0.257284592191378,Fp1
mild_master_1 ,large_itd,Masker,non-bash,bash,2.58117391629653,1.44627135558562,Fp1
mild_master_1 ,large_itd,Masker,non-bash,non-bash,1.92181062316723,0.277353731419543,Fp1
mild_master_1 ,small_ild,Target,bash,non-bash,2.32058297008276,1.78558042883873,Fp1
mild_master_1 ,small_ild,Target,non-bash,bash,2.40374531873635,1.66153838918323,Fp1
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.79164813129318,1.43049089284922,Fp1
mild_master_1 ,small_ild,Masker,bash,non-bash,2.68951111910018,2.14312167465687,Fp1
mild_master_1 ,small_ild,Masker,non-bash,bash,3.08716343409485,1.16677083008819,Fp1
mild_master_1 ,small_ild,Masker,non-bash,non-bash,2.04793774799297,1.41433167892291,Fp1
mild_master_1 ,large_ild,Target,bash,non-bash,1.74983335276867,1.25272177026627,Fp1
mild_master_1 ,large_ild,Target,non-bash,bash,3.06623803300735,2.70852922491538,Fp1
mild_master_1 ,large_ild,Target,non-bash,non-bash,2.71154815956829,0.808160385368316,Fp1
mild_master_1 ,large_ild,Masker,bash,non-bash,2.09175863791915,1.96061327106812,Fp1
mild_master_1 ,large_ild,Masker,non-bash,bash,2.3075046190749,0.54666356936745,Fp1
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.77225980906753,0.632612294736116,Fp1
mild_master_1 ,small_itd,Target,bash,non-bash,4.71743454833825,3.93884449766742,AF3
mild_master_1 ,small_itd,Target,non-bash,bash,6.37355699504123,1.52514872691211,AF3
mild_master_1 ,small_itd,Target,non-bash,non-bash,2.90685312731046,-0.533039142392206,AF3
mild_master_1 ,small_itd,Masker,bash,non-bash,2.32946267988947,2.35371850949747,AF3
mild_master_1 ,small_itd,Masker,non-bash,bash,3.72024042635429,-0.684053986537747,AF3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,3.685365778833,1.04087464184194,AF3
mild_master_1 ,large_itd,Target,bash,non-bash,2.09135686968054,4.70278758576938,AF3
mild_master_1 ,large_itd,Target,non-bash,bash,2.852805678712,-0.757582672768169,AF3
mild_master_1 ,large_itd,Target,non-bash,non-bash,3.28811156865838,2.72136998470727,AF3
mild_master_1 ,large_itd,Masker,bash,non-bash,3.33637826879819,2.95274502575398,AF3
mild_master_1 ,large_itd,Masker,non-bash,bash,3.23710449464393,-0.24355829556783,AF3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,2.94255588920854,0.239368310849444,AF3
mild_master_1 ,small_ild,Target,bash,non-bash,1.71530559390783,3.75592652738094,AF3
mild_master_1 ,small_ild,Target,non-bash,bash,2.87951335765067,2.10899908542633,AF3
mild_master_1 ,small_ild,Target,non-bash,non-bash,2.70326307988325,2.77036653701833,AF3
mild_master_1 ,small_ild,Masker,bash,non-bash,3.33353354334831,2.23536236936396,AF3
mild_master_1 ,small_ild,Masker,non-bash,bash,3.44970049063365,-0.128901987274488,AF3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,2.98103794657198,1.50861586251653,AF3
mild_master_1 ,large_ild,Target,bash,non-bash,1.53454298617992,3.9059418921775,AF3
mild_master_1 ,large_ild,Target,non-bash,bash,3.39101017407882,1.95823033375618,AF3
mild_master_1 ,large_ild,Target,non-bash,non-bash,4.64663447606854,1.82136717521078,AF3
mild_master_1 ,large_ild,Masker,bash,non-bash,4.69733372821527,2.78613584742827,AF3
mild_master_1 ,large_ild,Masker,non-bash,bash,2.71696268242338,0.397412435645642,AF3
mild_master_1 ,large_ild,Masker,non-bash,non-bash,2.14946263280715,1.07123740296927,AF3
mild_master_1 ,small_itd,Target,bash,non-bash,3.19574549529288,2.31084192428324,F7
mild_master_1 ,small_itd,Target,non-bash,bash,3.41360682985362,1.8435889545609,F7
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.63055660855686,0.15378253785431,F7
mild_master_1 ,small_itd,Masker,bash,non-bash,1.58423810126605,1.50751083868521,F7
mild_master_1 ,small_itd,Masker,non-bash,bash,1.86610917071017,0.352658340698335,F7
mild_master_1 ,small_itd,Masker,non-bash,non-bash,2.40361762455293,1.03913134895005,F7
mild_master_1 ,large_itd,Target,bash,non-bash,2.09360825504575,1.95830547830888,F7
