,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
752,4,8.0,1.8995424497844885e-16,0.08656612602889281,6.733697122490195e-08,-1.953177377111544,-0.1315210488396895,1,7,hbo,False,S1_D7 hbo,mild_master_31,,
753,Linear,8.0,1.8995424497844885e-16,0.6653561923663982,9.660486456562562e-13,0.4489843128425005,4.3374068734240245e-07,1,7,hbo,False,S1_D7 hbo,mild_master_31,,
754,ShortHbO,8.0,1.8995424497844885e-16,1.7594116344271494e-11,0.00447284981443357,53.079542501685694,237416.82182888367,1,7,hbo,True,S1_D7 hbo,mild_master_31,,
755,az_itd=0_az=15,8.0,1.8995424497844885e-16,0.4172486666613907,1.2310739893330817e-08,-0.855327746382722,-0.01052971740926652,1,7,hbo,False,S1_D7 hbo,mild_master_31,0.00046171657975140393,
756,az_itd=0_az=5,8.0,1.8995424497844885e-16,0.6949000343910056,1.2303357078513926e-08,-0.40668797765294806,-0.005003627408602913,1,7,hbo,False,S1_D7 hbo,mild_master_31,-0.06912332411602866,
757,az_itd=15_az=0,8.0,1.8995424497844885e-16,0.011543025911432267,1.2319295372941657e-08,-3.2590879723466872,-0.04014966737774035,1,7,hbo,True,S1_D7 hbo,mild_master_31,0.0007369740209475957,
758,az_itd=5_az=0,8.0,1.8995424497844885e-16,0.1213000405266951,1.2319012254429394e-08,-1.7331511636484604,-0.02135071042376395,1,7,hbo,False,S1_D7 hbo,mild_master_31,0.018389484061401205,
759,constant,8.0,1.8995424497844885e-16,0.9714873679192448,1.0787387073210438e-08,-0.036876097753579334,-0.0003977967402174062,1,7,hbo,False,S1_D7 hbo,mild_master_31,,
768,4,8.0,1.2625184962635792e-16,0.14356129427595307,5.489691649081092e-08,-1.6215326088501918,-0.08901714021517573,1,8,hbo,False,S1_D8 hbo,mild_master_31,,
769,Linear,8.0,1.2625184962635792e-16,0.5489242945746531,7.875776243265343e-13,0.6257278733179876,4.928092719426753e-07,1,8,hbo,False,S1_D8 hbo,mild_master_31,,
770,ShortHbO,8.0,1.2625184962635792e-16,1.1947170789780175e-12,0.0036465207488882915,74.33809023391943,271075.3884707173,1,8,hbo,True,S1_D8 hbo,mild_master_31,,
771,az_itd=0_az=15,8.0,1.2625184962635792e-16,0.06718685576305979,1.0036413096262787e-08,-2.1165321317600236,-0.021242390805857297,1,8,hbo,False,S1_D8 hbo,mild_master_31,0.0009496181653437865,
772,az_itd=0_az=5,8.0,1.2625184962635792e-16,0.984571475934871,1.0030394207068673e-08,-0.01995049720633651,-0.00020011135160657748,1,8,hbo,False,S1_D8 hbo,mild_master_31,-0.03954638878328129,
773,az_itd=15_az=0,8.0,1.2625184962635792e-16,0.07189020217228215,1.0043388008279048e-08,-2.0730262447380117,-0.020820206927249497,1,8,hbo,False,S1_D8 hbo,mild_master_31,0.012117840173281305,
774,az_itd=5_az=0,8.0,1.2625184962635792e-16,0.271311498785136,1.0043157194016956e-08,-1.1815571695580722,-0.011866564387589465,1,8,hbo,False,S1_D8 hbo,mild_master_31,0.0018762913830645052,
775,constant,8.0,1.2625184962635792e-16,0.8533782484261554,8.794489513556954e-09,-0.19087542083332254,-0.0016786518869144256,1,8,hbo,False,S1_D8 hbo,mild_master_31,,
1024,4,8.0,3.852388329860673e-16,0.17324946051294934,8.802566717089782e-08,-1.4951008006121906,-0.13160724546163155,2,6,hbo,False,S2_D6 hbo,mild_master_31,,
1025,Linear,8.0,3.852388329860673e-16,0.7910095716769469,8.325122896258468e-13,0.2740227295652387,2.2812728999988108e-07,2,6,hbo,False,S2_D6 hbo,mild_master_31,,
1026,ShortHbO,8.0,3.852388329860673e-16,2.5506712346707002e-11,0.006336825515455268,50.6654974028774,321058.4166957861,2,6,hbo,True,S2_D6 hbo,mild_master_31,,
