,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
4176,4,72.0,1.9353796085169055e-16,0.042092817365197224,7.838636499786045e-08,-2.069456672343541,-0.1622171860655785,1,7,hbo,True,S1_D7 hbo,mild_master_24,,
4177,Linear,72.0,1.9353796085169055e-16,0.9277680786861331,8.726496132633038e-10,-0.09097121659030152,-7.938599697561887e-05,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4178,az_itd=0_az=15,72.0,1.9353796085169055e-16,2.3017756399703072e-05,1.4297996462471873e-08,-4.528391149095038,-0.06474692063044979,1,7,hbo,True,S1_D7 hbo,mild_master_24,0.014315702791047632,
4179,az_itd=0_az=5,72.0,1.9353796085169055e-16,0.0365307005957935,1.4302695672477328e-08,2.130692167702985,0.030474641646386823,1,7,hbo,True,S1_D7 hbo,mild_master_24,-0.023041082787891794,
4180,az_itd=15_az=0,72.0,1.9353796085169055e-16,5.369699000003046e-10,1.4303613895159215e-08,-7.169780587502488,-0.10255377323664339,1,7,hbo,True,S1_D7 hbo,mild_master_24,0.06515935387343808,
4181,az_itd=5_az=0,72.0,1.9353796085169055e-16,7.573866636244789e-16,1.4308103089759353e-08,-10.323010405775163,-0.14770269708248954,1,7,hbo,True,S1_D7 hbo,mild_master_24,0.002527972472113816,
4182,constant,72.0,1.9353796085169055e-16,0.9267210565086614,9.676871665302763e-06,0.09229364527956894,0.8931137608933648,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4183,drift_1,72.0,1.9353796085169055e-16,0.9276383361662208,0.00082626387881557,-0.09113507750792364,-75.3016226378546,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4184,drift_10,72.0,1.9353796085169055e-16,0.905984367873212,1.7044803997053075e-06,-0.11852167888511755,-0.2020178785998493,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4185,drift_11,72.0,1.9353796085169055e-16,0.8700197794970538,7.195746732460317e-06,-0.16421785862415017,-1.1816701196063588,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4186,drift_12,72.0,1.9353796085169055e-16,0.831509994678192,1.6932975916461775e-06,0.2135391334778834,0.3615853004403116,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4187,drift_13,72.0,1.9353796085169055e-16,0.9321300385517086,5.324904514485941e-06,0.0854636043038885,0.45508553238201593,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
4188,drift_14,72.0,1.9353796085169055e-16,0.6333573632113728,1.6804646046478408e-06,-0.4790463954775775,-0.8050205115842005,1,7,hbo,False,S1_D7 hbo,mild_master_24,,
