,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
658,Linear,7.0,7.36965871976156e-15,0.5840732265288002,1.6812654482662284e-12,0.5737797643073707,9.646760926443224e-07,1,7,hbo,False,S1_D7 hbo,mild_master_36,,
659,ShortHbO,7.0,7.36965871976156e-15,0.0001876306367688911,0.0035787499854743033,7.136079542631847,25538.244559537194,1,7,hbo,True,S1_D7 hbo,mild_master_36,,
660,az_itd=0_az=15,7.0,7.36965871976156e-15,0.1873795901110407,5.568976093937215e-08,-1.4610739882287977,-0.08136686111919678,1,7,hbo,False,S1_D7 hbo,mild_master_36,-0.012717354049404356,
661,az_itd=0_az=5,7.0,7.36965871976156e-15,0.059902014844488274,5.569689581322725e-08,-2.241987152182455,-0.12487172482970026,1,7,hbo,False,S1_D7 hbo,mild_master_36,-0.16624426973132125,
662,az_itd=15_az=0,7.0,7.36965871976156e-15,0.01224007404379163,5.570784071892223e-08,-3.35063775163378,-0.18665679417482234,1,7,hbo,True,S1_D7 hbo,mild_master_36,-0.08884575507783185,
663,az_itd=5_az=0,7.0,7.36965871976156e-15,0.3848628403905912,5.570074462605617e-08,-0.926816882725591,-0.05162439049981559,1,7,hbo,False,S1_D7 hbo,mild_master_36,-0.03804017144052058,
664,constant,7.0,7.36965871976156e-15,0.8388125625730399,2.4340298416194533e-08,0.21111424873091444,0.0051385838140211755,1,7,hbo,False,S1_D7 hbo,mild_master_36,,
672,Linear,7.0,9.15481595719079e-16,0.5593700072969829,1.092354269490954e-12,0.6128206044444574,6.694172036969302e-07,1,8,hbo,False,S1_D8 hbo,mild_master_36,,
673,ShortHbO,7.0,9.15481595719079e-16,2.8393670772770375e-07,0.001253868598370671,18.94492562945528,23754.44734524169,1,8,hbo,True,S1_D8 hbo,mild_master_36,,
674,az_itd=0_az=15,7.0,9.15481595719079e-16,0.0021920804763792107,2.4894390935943067e-08,-4.706394427391373,-0.11716282277422477,1,8,hbo,True,S1_D8 hbo,mild_master_36,-0.07023975648114249,
675,az_itd=0_az=5,7.0,9.15481595719079e-16,4.7411558818459867e-05,2.4905486998212026e-08,-8.854791531320283,-0.22053289535517526,1,8,hbo,True,S1_D8 hbo,mild_master_36,-0.22059921739051336,
676,az_itd=15_az=0,7.0,9.15481595719079e-16,1.1599115610532536e-05,2.4910402544586468e-08,-10.967980895911829,-0.2732168192184978,1,8,hbo,True,S1_D8 hbo,mild_master_36,-0.1565840829547856,
677,az_itd=5_az=0,7.0,9.15481595719079e-16,0.002113335870737254,2.491294784567759e-08,-4.737775842323781,-0.11803196246432357,1,8,hbo,True,S1_D8 hbo,mild_master_36,-0.051792743555103514,
678,constant,7.0,9.15481595719079e-16,0.2596487399566395,1.539681512222073e-08,1.2265368017740446,0.018884760377514857,1,8,hbo,False,S1_D8 hbo,mild_master_36,,
952,Linear,7.0,3.824811540874679e-14,0.7441232218779893,2.0973910734060323e-12,0.3395945013883157,7.122624757896258e-07,2,6,hbo,False,S2_D6 hbo,mild_master_36,,
953,ShortHbO,7.0,3.824811540874679e-14,0.00047019714979879517,0.008173173630992235,6.144214847315858,50217.73477323296,2,6,hbo,True,S2_D6 hbo,mild_master_36,,
954,az_itd=0_az=15,7.0,3.824811540874679e-14,0.6651071606798579,8.4045149396598e-08,-0.45175973767009914,-0.0379682146438514,2,6,hbo,False,S2_D6 hbo,mild_master_36,-0.013410170539616007,
955,az_itd=0_az=5,7.0,3.824811540874679e-14,0.0382902951509607,8.403903470285409e-08,-2.5466519167931985,-0.21401816881147348,2,6,hbo,True,S2_D6 hbo,mild_master_36,-0.20531540653098745,
956,az_itd=15_az=0,7.0,3.824811540874679e-14,0.07691150024730116,8.406132716189368e-08,-2.072683065098357,-0.17423248923814955,2,6,hbo,False,S2_D6 hbo,mild_master_36,-0.04959555141050989,
957,az_itd=5_az=0,7.0,3.824811540874679e-14,0.8500634500156985,8.402476381184507e-08,-0.19615291285970432,-0.016481702174042084,2,6,hbo,False,S2_D6 hbo,mild_master_36,0.05158951629481591,
958,constant,7.0,3.824811540874679e-14,0.7878374182244122,3.049570574057274e-08,0.27963839663994977,0.008527770257697471,2,6,hbo,False,S2_D6 hbo,mild_master_36,,
966,Linear,7.0,9.663835398389393e-16,0.8664265921250704,1.1223116305753003e-12,0.17448102896088094,1.958220881175425e-07,2,7,hbo,False,S2_D7 hbo,mild_master_36,,
967,ShortHbO,7.0,9.663835398389393e-16,9.056899545440355e-08,0.0012882554226847443,22.35779988473154,28802.556940805756,2,7,hbo,True,S2_D7 hbo,mild_master_36,,
968,az_itd=0_az=15,7.0,9.663835398389393e-16,0.0027287629248270253,2.557710924361303e-08,-4.521038456225389,-0.11563509448945238,2,7,hbo,True,S2_D7 hbo,mild_master_36,-0.07205871455581668,
969,az_itd=0_az=5,7.0,9.663835398389393e-16,0.0005523081998492947,2.5588509610770333e-08,-5.981605373309314,-0.15306036658276084,2,7,hbo,True,S2_D7 hbo,mild_master_36,-0.13859681560325188,
970,az_itd=15_az=0,7.0,9.663835398389393e-16,7.973833534979962e-05,2.559355996395771e-08,-8.169030951538353,-0.20907458350562333,2,7,hbo,True,S2_D7 hbo,mild_master_36,-0.11250782027548471,
971,az_itd=5_az=0,7.0,9.663835398389393e-16,0.00569766348893389,2.5596175068871626e-08,-3.926988750049079,-0.10051589153974558,2,7,hbo,True,S2_D7 hbo,mild_master_36,-0.05227162952296993,
972,constant,7.0,9.663835398389393e-16,0.2809990182105325,1.5819066367121558e-08,1.1681196656969983,0.018478562516400662,2,7,hbo,False,S2_D7 hbo,mild_master_36,,
980,Linear,7.0,8.803115611894586e-16,0.6847796663918984,1.3410275624942847e-12,0.4232981049134476,5.676544258405306e-07,2,8,hbo,False,S2_D8 hbo,mild_master_36,,
981,ShortHbO,7.0,8.803115611894586e-16,4.249897803069768e-06,0.0012271093277252025,12.740591631168439,15634.098831344443,2,8,hbo,True,S2_D8 hbo,mild_master_36,,
982,az_itd=0_az=15,7.0,8.803115611894586e-16,0.0321981462501369,2.5554975639510383e-08,-2.6657359134291365,-0.06812281632904955,2,8,hbo,True,S2_D8 hbo,mild_master_36,-0.05837872821179683,
983,az_itd=0_az=5,7.0,8.803115611894586e-16,0.001382470242672959,2.5568643701001103e-08,-5.111015951721057,-0.13068174581968875,2,8,hbo,True,S2_D8 hbo,mild_master_36,-0.15210421462829637,
984,az_itd=15_az=0,7.0,8.803115611894586e-16,0.00015804579209986844,2.557373476743671e-08,-7.334260562042492,-0.18756443432894598,2,8,hbo,True,S2_D8 hbo,mild_master_36,-0.11536621261801185,
985,az_itd=5_az=0,7.0,8.803115611894586e-16,0.036653182262427204,2.557789235051578e-08,-2.5766060169914065,-0.06590415133229743,2,8,hbo,True,S2_D8 hbo,mild_master_36,-0.013674019412154488,
986,constant,7.0,8.803115611894586e-16,0.631865589549597,1.837190222988063e-08,0.5008094896040398,0.009200822978801839,2,8,hbo,False,S2_D8 hbo,mild_master_36,,
994,Linear,7.0,1.0993007155972742e-15,0.5104065224280203,1.4985724931329951e-12,0.693395819487349,1.0391039019371528e-06,3,5,hbo,False,S3_D5 hbo,mild_master_36,,
995,ShortHbO,7.0,1.0993007155972742e-15,1.4759787291660068e-06,0.0013712710581246892,14.892113734577453,20421.12455852724,3,5,hbo,True,S3_D5 hbo,mild_master_36,,
996,az_itd=0_az=15,7.0,1.0993007155972742e-15,0.0002767616996165525,2.855719347395386e-08,-6.702656061892737,-0.19140904594884053,3,5,hbo,True,S3_D5 hbo,mild_master_36,-0.19390921573859485,
997,az_itd=0_az=5,7.0,1.0993007155972742e-15,0.0001834373696288516,2.857246726962913e-08,-7.161939034906224,-0.2046342686619373,3,5,hbo,True,S3_D5 hbo,mild_master_36,-0.2539493506250227,
998,az_itd=15_az=0,7.0,1.0993007155972742e-15,7.129986255480411e-06,2.8578156438393806e-08,-11.796781650124268,-0.3371302714668248,3,5,hbo,True,S3_D5 hbo,mild_master_36,-0.25293029833456215,
999,az_itd=5_az=0,7.0,1.0993007155972742e-15,0.00037390574697213937,2.8582802457472355e-08,-6.381232995009185,-0.1823935221314522,3,5,hbo,True,S3_D5 hbo,mild_master_36,-0.126169606552139,
1000,constant,7.0,1.0993007155972742e-15,0.3503776102752644,2.0530247176291867e-08,1.00052977947482,0.020541123679858848,3,5,hbo,False,S3_D5 hbo,mild_master_36,,
1008,Linear,7.0,8.903242885953662e-16,0.5323052003400383,1.077240845703413e-12,0.6567924884510468,7.075236957106547e-07,3,6,hbo,False,S3_D6 hbo,mild_master_36,,
1009,ShortHbO,7.0,8.903242885953662e-16,1.9358484267089065e-07,0.0012365205199767475,20.02840944522845,24765.539261521084,3,6,hbo,True,S3_D6 hbo,mild_master_36,,
1010,az_itd=0_az=15,7.0,8.903242885953662e-16,0.00026171948755238897,2.4549961028306086e-08,-6.763686748599409,-0.1660482460857858,3,6,hbo,True,S3_D6 hbo,mild_master_36,-0.12600109404567655,
1011,az_itd=0_az=5,7.0,8.903242885953662e-16,5.078780133196105e-05,2.4560903569417918e-08,-8.761347434919603,-0.2151866094872274,3,6,hbo,True,S3_D6 hbo,mild_master_36,-0.2072861188740449,
1012,az_itd=15_az=0,7.0,8.903242885953662e-16,4.9510021037309244e-06,2.456575110604719e-08,-12.45506665181126,-0.305968067377624,3,6,hbo,True,S3_D6 hbo,mild_master_36,-0.17663078504590113,
1013,az_itd=5_az=0,7.0,8.903242885953662e-16,0.0006597574116250339,2.4568261191260892e-08,-5.805599858497698,-0.14263349369551873,3,6,hbo,True,S3_D6 hbo,mild_master_36,-0.03986328858251683,
1014,constant,7.0,8.903242885953662e-16,0.18543805968987703,1.518379028364983e-08,1.4684207634370239,0.02229619292018475,3,6,hbo,False,S3_D6 hbo,mild_master_36,,
1022,Linear,7.0,1.60354570939836e-15,0.7260912488859561,1.4457039697455852e-12,0.36471797358609537,5.272742222509835e-07,3,7,hbo,False,S3_D7 hbo,mild_master_36,,
1023,ShortHbO,7.0,1.60354570939836e-15,5.311697153936302e-06,0.00165946420573662,12.325571328371543,20453.84443468614,3,7,hbo,True,S3_D7 hbo,mild_master_36,,
1024,az_itd=0_az=15,7.0,1.60354570939836e-15,0.009337575002034398,3.2947113226611916e-08,-3.5504928259997204,-0.11697848914848612,3,7,hbo,True,S3_D7 hbo,mild_master_36,-0.11903365984801088,
1025,az_itd=0_az=5,7.0,1.60354570939836e-15,0.0010389546483387413,3.296179859171627e-08,-5.37228530849069,-0.1770801863157064,3,7,hbo,True,S3_D7 hbo,mild_master_36,-0.1885662791223384,
1026,az_itd=15_az=0,7.0,1.60354570939836e-15,5.5927018278717185e-05,3.296830419626736e-08,-8.631824160212377,-0.2845766046825716,3,7,hbo,True,S3_D7 hbo,mild_master_36,-0.1570037959215775,
1027,az_itd=5_az=0,7.0,1.60354570939836e-15,0.005388185264042405,3.297167283956781e-08,-3.970597954390834,-0.13091725672963175,3,7,hbo,True,S3_D7 hbo,mild_master_36,-0.026561599712816533,
1028,constant,7.0,1.60354570939836e-15,0.3558211713791178,2.037730557322429e-08,0.9885348011278753,0.020143675712349218,3,7,hbo,False,S3_D7 hbo,mild_master_36,,
