S,Condition,Target_Direction,Lead_Stream,Word,WordPosition,Amplitude_1,Amplitude_2,Amplitude_3,Amplitude_4,Amplitude_5,Amplitude_6,Amplitude_7,Amplitude_8,Amplitude_9,Amplitude_10,Amplitude_11,Amplitude_12,Amplitude_13,Amplitude_14,Amplitude_15,Amplitude_16,Amplitude_17,Amplitude_18,Amplitude_19,Amplitude_20,Amplitude_21,Amplitude_22,Amplitude_23,Amplitude_24,Amplitude_25,Amplitude_26,Amplitude_27,Amplitude_28,Amplitude_29,Amplitude_30,Amplitude_31,Amplitude_32
mild_master_1 ,small_itd,L,Target,"bash",Lead,3.55239277303993,5.29515223069625,2.97995714862625,4.42587623967753,4.67171096182489,3.65260038747416,2.85448386916867,2.35670211408045,3.83270540485134,2.27726643580895,0.335101244801825,2.54471880836146,4.64865324946193,2.83723761025187,1.63660477019556,2.2696434737413,3.00155400759359,4.55006678615298,5.3600475389462,4.32993549824535,6.34835043201199,6.4655050852082,7.89298874604238,3.97676515734041,6.27542456790998,6.5036018003117,6.11715447438228,4.37563273813817,6.20647393883049,4.30001571271327,6.04159897720659,4.99368016363738
mild_master_1 ,small_itd,R,Target,"bash",Lead,3.50488736799785,2.52872491375844,3.32035555830575,4.54344417278032,4.00797367678549,3.40029389069493,1.52976511788547,2.66141979228285,1.40461620128244,0.469819695429694,-1.58901814923139,0.149707144700495,1.4926160327474,-0.860284389521843,-1.32393307544123,0.093622189771412,0.328445900763784,1.26585387242468,2.03555840567539,2.21144390677599,3.17558233899281,1.73436413537291,3.71981076011084,3.88846530569227,4.62252938792222,4.12438011438327,5.09046136346975,4.36514405110725,3.19106577392808,3.31309763381356,4.91824863190041,1.76135578505079
mild_master_1 ,small_itd,L,Masker,"bash",Lead,3.69009986764941,4.34082452507762,3.65119966309824,4.77411479196507,5.00822861937733,4.33839593227808,3.54347003409357,5.36839394884192,3.233231547849,3.32719341630027,1.48430288115363,1.80227835495751,0.96173643904589,0.670199073966012,1.13559512362626,1.33544409852394,1.09204257298583,1.6832462436322,2.49982106376004,2.07766584671421,3.3493815376645,3.02258579594232,4.08581070647095,3.79428265350206,4.52125457896815,4.90324471187798,5.10584037076859,3.84826552222817,3.75272888022584,3.44007396130335,5.42892199393475,3.29368961528266
mild_master_1 ,small_itd,R,Masker,"bash",Lead,1.85059582921011,-0.0184206520872457,1.41997889961515,2.9323820833649,1.88747402280569,2.49010305745261,0.50845664526735,0.851329028606415,-2.09329631658537,0.240526932424733,-1.90653187868052,-2.47203167634351,-4.40683239951198,-2.99659141495691,-1.71901754376345,-1.1962300207732,-1.12970935061042,-2.09174696675369,-2.12943709215948,-0.371733768044838,0.291497912790094,-2.76012263739748,-0.786483338900975,-0.0670027203325714,0.32015927827784,0.277718650443213,1.16083164459893,1.09820580695357,-1.38585687002965,0.764671873833452,1.67645495331713,-1.61095827658262
mild_master_1 ,small_itd,L,Target,"dash,gash",Lead,2.11337731164469,0.926834448217758,2.39844334977014,2.96570788522072,2.23843821457454,2.62222384183082,0.617214140535771,1.3675512232021,-0.347963774928514,-0.473458443173438,-2.13043326519931,-1.91116163122341,-1.76302751673658,-2.69695609783806,-1.99410143437717,-1.86098799844271,-1.77801433857683,-1.77852644001811,-1.31954929533557,-0.927174746525307,-0.0527052435479532,-0.67188089141509,0.679686610628231,1.13802911999386,1.70675068663063,1.40855942492806,2.26514691936559,2.43673556524349,0.719448421389011,2.04966777191178,2.41490204531962,0.3668517158145
mild_master_1 ,small_itd,R,Target,"dash,gash",Lead,2.08760023485279,1.31866081536507,2.13423753314037,2.91712498918003,2.36000411252718,2.91593995011451,1.11035671600044,1.76863901483967,-0.12930303996134,0.285118922130942,-1.34360671991259,-1.13703016255008,-1.04184983345648,-1.70489757329326,-1.57745950778364,-1.19162353465844,-0.867279948803334,-0.788562877297862,-0.344620683622406,-0.176123709119425,0.705316959085612,0.351011082875222,0.915094194149879,1.70703579893904,1.79831293558982,1.53887491647341,2.02307017786162,2.09597823507077,1.17455872433066,1.64037787200861,2.40876173501309,0.737178040862544
mild_master_1 ,small_itd,L,Masker,"dash,gash",Lead,1.70069925512085,2.55397423939044,1.89637606547159,2.38008709251881,2.65685817073373,2.5731109443332,1.9978116187854,2.31496332736075,2.15171851706104,1.75887454977306,0.523762906784145,1.57014760788248,1.28631825673104,1.34587379439319,0.822563068894278,0.274047087846684,0.313168720882229,0.818275916726649,1.13274755413417,0.357429454838779,1.46522560377582,2.23151868368898,2.430579007298,1.46142168555941,2.33166275555346,2.74345430844471,2.44113766095218,1.87950982942301,2.58555674590483,1.96836833255131,2.51501047536105,2.456652030474
mild_master_1 ,small_itd,R,Masker,"dash,gash",Lead,2.08642457320278,1.70400030729466,2.27778803656872,2.84431978078713,2.51375026389172,2.50176367777631,1.10445464248944,2.04477104620826,0.432816887215564,0.349860646670922,-1.06240893891992,-0.414997189206288,-0.0649186809708301,-0.922597113778268,-0.695554736284609,-0.360329103408227,0.0211789120646908,0.158199705878147,0.519832134291642,0.809183765734945,1.64103342039245,0.974543160558643,2.39285282452304,2.17912080355157,2.65429886131358,2.2916637261111,2.67659725174868,2.69257058658098,1.88053969494382,2.25511246354956,2.85279222771637,1.52869017912929
mild_master_1 ,small_itd,L,Target,"bash",Lag,1.29695240812642,1.82448587715626,0.88588082577501,0.967461382916995,1.34682254748685,0.786818069219589,-0.455341645436628,2.02794479344572,0.738212807689394,-1.37361855528184,-3.33050425659333,-2.16243344768882,0.407201360485383,-3.44353710434266,-2.35124250613153,-1.45507661620421,-1.51930489795881,-0.319133028813771,0.634630319689001,0.416784384101629,1.63318100827081,1.86410867827279,2.50940209499427,2.14737427064351,2.40905738856111,2.08816959517343,1.63019860727446,1.7691538721323,2.81242182808263,0.676896667054721,1.30152413419315,2.66014165580273
mild_master_1 ,small_itd,R,Target,"bash",Lag,0.453885311608786,1.76083234116271,-0.689907403437646,0.759656382131053,1.54556946178059,0.928766386194544,0.973801264396081,2.61363491579726,-0.000371929053421859,1.88973528015745,0.23630462881628,0.530497955751943,-1.08078003617433,-0.45461744430301,0.408435817562289,0.913310983351299,0.192218823092324,0.494423222738308,0.624277548803078,1.60889976750036,1.35448946795621,0.268865573537219,0.744628171999376,0.640829285750022,0.439927505922842,2.00865112818204,0.564194715940035,-0.953643339020865,1.35186568197313,-0.35996484035974,0.824341927910899,1.3837882732297
mild_master_1 ,small_itd,L,Masker,"bash",Lag,1.35132403110529,-3.1857601520303,0.741984145207839,2.05972890652619,0.613243519485771,1.21326953250092,-1.4077207182909,-0.561946009660696,-6.08734940398823,-2.3175700751992,-2.97663129953208,-6.9446270736781,-10.7839569416526,-8.06203109625872,-4.68795302573156,-4.97704962466831,-3.84691541912881,-6.00902003243372,-5.4162798910946,-1.51898815531235,-0.487994266794874,-5.68229566533844,-1.66620361882371,1.08781443555634,-0.413672141440503,-0.792874996538286,-0.294836823042337,0.854853208188887,-3.28317362766761,1.21727521311153,1.38502342592586,-4.5058977340723
mild_master_1 ,small_itd,R,Masker,"bash",Lag,0.79197701713541,0.634129140730743,0.0109954653205452,1.14648056881768,0.866065583713762,0.6176903290408,0.253999498028022,0.0419804918897021,0.646483160637237,0.270575638983276,-0.615601390763953,-0.189413732224768,0.0467034434224223,-0.111494050064421,-0.219291734498936,-0.217921485817367,-0.0386040213794171,0.213211431608095,0.383036018400402,-0.111255573252073,0.093821373287138,0.663489623875408,0.401846455021219,-0.0663790580008056,0.483013669540594,0.906550233180706,1.68458541867497,-0.279260599351191,0.855040580361754,1.10802340147259,1.62513698981358,0.547942816228657
mild_master_1 ,small_itd,L,Target,"dash,gash",Lag,0.754391884629106,1.72976204905754,1.23274341291124,1.84633876639845,1.97210901353385,1.99732559537276,1.58257250329514,2.34298997156786,1.49864853918552,1.5219948001397,0.704627457487605,1.00336023458304,0.843118365785796,0.606587670190813,0.0788735267791501,-0.335165224464494,0.253370921014921,0.610015789067352,0.827466509472101,0.907920587030086,1.12849223510031,1.16294290141745,1.79426994723278,0.851411388688908,1.35963145498828,1.3115050410613,1.15062754090889,1.05386400091779,1.16719402050797,1.22797632162824,1.2518840380859,1.41958282467646
mild_master_1 ,small_itd,R,Target,"dash,gash",Lag,0.639352831138032,0.890305551992995,0.860338837759835,1.02939313373395,0.755696082753795,0.935036683082581,0.565917896479368,1.18946911990643,0.669925493746996,0.247004211800439,-0.117620917436268,0.321533966250718,-0.319942467872586,0.103052246889898,-0.0643989771271923,0.280558055502895,0.367115444709946,0.534058869164437,0.952941491481449,0.571176011035485,1.40270458268268,1.20879843123257,1.84138743802905,1.09586417004466,1.49248594939709,1.35044240344848,1.09056462986129,1.29462930347238,1.40256494422044,1.10074100175074,1.00832718483039,1.05548210952963
mild_master_1 ,small_itd,L,Masker,"dash,gash",Lag,1.30990031068287,2.21814493111202,1.82204805820707,2.28006767904948,2.37114000831332,2.34242162732851,1.73011589963285,2.86970541590736,2.21500106392399,1.43544664004492,0.714510728371522,1.66142842237438,0.762455133194961,1.31177080505424,0.620981327533012,0.725382677447938,0.621653048469434,0.604599063819836,0.45543757729114,0.709325286414888,1.05092456189413,1.23497531882354,1.87162941268512,1.4396508163403,1.87529424182952,1.77673215979622,1.63089653802296,1.84902843691054,1.76642432279057,1.42224077781041,1.68710323061262,1.9062254450624
mild_master_1 ,small_itd,R,Masker,"dash,gash",Lag,1.48119720731463,2.03579041567169,1.80567495041535,2.49572972419883,2.46926881996523,2.13490033610528,1.35160221747991,1.25601954880883,1.54748773189152,1.2248675327842,-0.115085745133272,1.047006295684,1.25900433849888,0.579276884109283,0.263983413270291,0.626164725008068,1.21877835561373,1.35151575408062,1.44158833678029,1.59147555454939,2.00489748521011,1.67258020188628,2.01885316161548,1.92186108071263,2.12529857529312,1.88877608215108,1.6789318482415,2.20322969260336,1.75336832258882,1.776285846594,2.02488001224374,2.05877161086106
mild_master_1 ,large_itd,L,Target,"bash",Lead,5.68612635290468,1.78948236595501,3.81337076425552,6.78550593806552,5.29120810775014,4.63231005916348,2.29818685449563,2.31439787459064,0.218347811853731,1.29586929353801,-0.89540452331111,-0.366995432934204,-0.573586109396699,-0.342673918643555,0.253515672761124,-0.264514311567529,-0.823885984622039,-1.01144519796619,-0.594086763533679,-1.88217865491842,0.694673593555178,-0.286460152694157,2.71334874552566,3.61779036614802,4.46598096636983,6.85898970473896,6.60813446168776,4.27939655177005,2.94161121643983,6.15925031048911,9.09611158247118,1.54891803512326
mild_master_1 ,large_itd,R,Target,"bash",Lead,1.27809298719679,0.835371866112664,1.35525177773975,2.00627862953004,1.05237228189196,1.5165631719998,0.701689614284606,1.3122928182284,2.22252274865196,0.791510025944029,-0.935111410986809,1.14477277795474,1.36652082431884,0.165084680892705,-0.961613740949404,-0.0972222028921048,1.17258382260445,1.69649936443283,2.12883085012436,2.68212099855854,2.59050037293207,1.79179271544729,1.76136420794896,2.38232909951891,2.03767629123869,0.749089010556539,1.21308381443932,2.18906408661888,0.947026026816595,1.2918811684563,1.64068930319377,1.06595187584559
mild_master_1 ,large_itd,L,Masker,"bash",Lead,2.50144360389578,1.56993935871783,2.51067411762229,3.17234759094528,2.1321136674024,2.74123263084394,1.81246894488137,0.326586600547562,1.29226241298535,1.59545291967106,0.54708367156955,1.27503522179918,1.92989550633914,1.22369526672576,0.447915916275319,1.07487629040698,1.93245612011046,2.19672746255925,2.58799921189036,2.77398302210366,3.15615933295769,2.31407880632009,2.74441011874906,4.0548157483202,3.56778578192408,2.53636924105306,3.81708894374733,3.25525821765996,2.06868787240323,2.2432611724748,3.3587786025166,1.8815467544415
