S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,large_itd,Masker,non-bash,bash,1.56531040812984,1.17493084307873,F7
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.427232167146189,0.633414435601063,F7
mild_master_1 ,small_ild,Target,bash,non-bash,1.46782812863588,0.939200892448425,F7
mild_master_1 ,small_ild,Target,non-bash,bash,2.52981083038307,0.39328340902215,F7
mild_master_1 ,small_ild,Target,non-bash,non-bash,0.767991596973495,0.635480201599614,F7
mild_master_1 ,small_ild,Masker,bash,non-bash,2.01550291641192,1.71374574357813,F7
mild_master_1 ,small_ild,Masker,non-bash,bash,3.16828130914105,0.0416925989919239,F7
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.79716447883083,0.357828751721777,F7
mild_master_1 ,large_ild,Target,bash,non-bash,1.138159100426,1.43795011753732,F7
mild_master_1 ,large_ild,Target,non-bash,bash,1.85922405062578,-0.0595525692670773,F7
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.76799923981108,0.412287173087035,F7
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.85387205814614,0.521588036067346,F7
mild_master_1 ,large_ild,Masker,non-bash,bash,1.25037636756897,0.194324877210285,F7
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.87241661952149,1.11543905079735,F7
mild_master_1 ,small_itd,Target,bash,non-bash,2.51369559963544,2.97367247641087,F3
mild_master_1 ,small_itd,Target,non-bash,bash,2.32714736672009,0.116215712182662,F3
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.77494629968143,0.64930250103592,F3
mild_master_1 ,small_itd,Masker,bash,non-bash,3.69233096970452,0.932687371306949,F3
mild_master_1 ,small_itd,Masker,non-bash,bash,2.63343396186829,1.17416547362397,F3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,3.54631434262216,1.78043466281224,F3
mild_master_1 ,large_itd,Target,bash,non-bash,1.78174567733492,1.56472798756191,F3
mild_master_1 ,large_itd,Target,non-bash,bash,1.56663309302595,2.59428665174378,F3
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.38332504885537,0.459696573870523,F3
mild_master_1 ,large_itd,Masker,bash,non-bash,0.845649038155874,1.72635974188646,F3
mild_master_1 ,large_itd,Masker,non-bash,bash,2.32489877144496,0.73710437001604,F3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,1.41175352489348,0.52302018241059,F3
mild_master_1 ,small_ild,Target,bash,non-bash,2.10354362517595,2.42434874683619,F3
mild_master_1 ,small_ild,Target,non-bash,bash,3.68996497335888,0.220797466947919,F3
mild_master_1 ,small_ild,Target,non-bash,non-bash,2.05424146786431,1.34519523358503,F3
mild_master_1 ,small_ild,Masker,bash,non-bash,3.20175235244361,3.09313687627966,F3
mild_master_1 ,small_ild,Masker,non-bash,bash,3.65591581530041,1.14607532322407,F3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,2.51075269100361,0.79723662379989,F3
mild_master_1 ,large_ild,Target,bash,non-bash,2.01837108921497,2.00995971953615,F3
mild_master_1 ,large_ild,Target,non-bash,bash,3.11889513394771,0.227233973527566,F3
mild_master_1 ,large_ild,Target,non-bash,non-bash,2.44141616162246,1.11215316008746,F3
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.0788355911479277,0.0200405941290014,F3
mild_master_1 ,large_ild,Masker,non-bash,bash,2.66927862400594,0.426426830239918,F3
