,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
608,4,8.0,2.9594901948339115e-16,0.007883747309907357,8.549606554364324e-08,3.5167114967209123,0.30066499662173485,1,7,hbo,True,S1_D7 hbo,mild_master_33,,
609,Linear,8.0,2.9594901948339115e-16,0.40225125652932614,1.4870612816399836e-12,-0.8844512001630886,-1.3152331352625444e-06,1,7,hbo,False,S1_D7 hbo,mild_master_33,,
610,ShortHbO,8.0,2.9594901948339115e-16,0.02148723171511913,0.00027960733883587003,2.849752626504387,796.8117482374226,1,7,hbo,True,S1_D7 hbo,mild_master_33,,
611,az_itd=0_az=15,8.0,2.9594901948339115e-16,0.0001054054498936001,1.5609416386029417e-08,7.066732134560966,0.11030756437689658,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.06425583445859052,
612,az_itd=0_az=5,8.0,2.9594901948339115e-16,0.026187835341142787,1.559841314936723e-08,2.721500923904592,0.042451095797448456,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.10501072211971954,
613,az_itd=15_az=0,8.0,2.9594901948339115e-16,2.0431114625126453e-06,1.5605842570744157e-08,12.07601686118641,0.18845641801732713,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.07319479210064449,
614,az_itd=5_az=0,8.0,2.9594901948339115e-16,6.873709975789058e-05,1.561373019930823e-08,7.508273359271861,0.1172321544943245,1,7,hbo,True,S1_D7 hbo,mild_master_33,0.03044786994696453,
615,constant,8.0,2.9594901948339115e-16,0.9909582519715979,1.5149268070754626e-08,0.011691236935690227,0.00017711368241747912,1,7,hbo,False,S1_D7 hbo,mild_master_33,,
624,4,8.0,5.495871572557412e-16,0.0008676065005840688,1.1650805828488791e-07,5.156282799657953,0.6007484969559138,1,8,hbo,True,S1_D8 hbo,mild_master_33,,
625,Linear,8.0,5.495871572557412e-16,0.6903885654660433,2.026463105323483e-12,-0.4130931944972457,-8.371181177088861e-07,1,8,hbo,False,S1_D8 hbo,mild_master_33,,
626,ShortHbO,8.0,5.495871572557412e-16,0.014166052164629083,0.0003810293248329959,3.1229186152771664,1189.9235714874533,1,8,hbo,True,S1_D8 hbo,mild_master_33,,
627,az_itd=0_az=15,8.0,5.495871572557412e-16,0.00047907592776515146,2.1271420883903088e-08,5.654217058350123,0.12027323081710989,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.03874017396324234,
628,az_itd=0_az=5,8.0,5.495871572557412e-16,0.433893886197247,2.1256426442577523e-08,-0.8238557857422689,-0.01751222990892245,1,8,hbo,False,S1_D8 hbo,mild_master_33,0.04884159405321347,
629,az_itd=15_az=0,8.0,5.495871572557412e-16,6.809053938689614e-05,2.126655073839514e-08,7.5182682705746835,0.1598876336410428,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.08948030158903879,
630,az_itd=5_az=0,8.0,5.495871572557412e-16,0.0005136544283044955,2.1277299446919083e-08,5.594292847108967,0.119031444101695,1,8,hbo,True,S1_D8 hbo,mild_master_33,0.02833414941531911,
