,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
602,Linear,7.0,6.517801234156828e-18,0.023493479107664982,2.8295806498509167e-13,2.8846961140375624,8.16248030498082e-07,1,7,hbo,True,S1_D7 hbo,mild_master_31,,
603,ShortHbO,7.0,6.517801234156828e-18,1.1548238717312461e-12,0.004520999732408598,112.51646569726687,508686.91130890464,1,7,hbo,True,S1_D7 hbo,mild_master_31,,
604,az_itd=0_az=15,7.0,6.517801234156828e-18,3.937103823673212e-05,1.9307346431111582e-09,-9.111510357318599,-0.017591908697941146,1,7,hbo,True,S1_D7 hbo,mild_master_31,-0.012065578003535004,
605,az_itd=0_az=5,7.0,6.517801234156828e-18,9.33099299793464e-07,1.9216823552129454e-09,-15.927643343062725,-0.030607871172488567,1,7,hbo,True,S1_D7 hbo,mild_master_31,-0.12507969796619553,
606,az_itd=15_az=0,7.0,6.517801234156828e-18,4.661353107090738e-06,1.918571534017755e-09,-12.56707765214039,-0.02411083744918724,1,7,hbo,True,S1_D7 hbo,mild_master_31,-0.021469999432247477,
607,az_itd=5_az=0,7.0,6.517801234156828e-18,0.002057951078587104,1.9375169030118738e-09,-4.760632924010309,-0.009223806759304815,1,7,hbo,True,S1_D7 hbo,mild_master_31,0.009017264001253225,
608,constant,7.0,6.517801234156828e-18,0.7611300806372244,2.367189458785998e-09,-0.31611843187099686,-0.0007483122196529834,1,7,hbo,False,S1_D7 hbo,mild_master_31,,
616,Linear,7.0,3.429939504297664e-18,0.01392042086878047,2.0526492785054317e-13,3.2570800209828583,6.68564295510492e-07,1,8,hbo,True,S1_D8 hbo,mild_master_31,,
617,ShortHbO,7.0,3.429939504297664e-18,1.6166332483068696e-13,0.003279647406176848,149.021272208735,488737.2288645518,1,8,hbo,True,S1_D8 hbo,mild_master_31,,
618,az_itd=0_az=15,7.0,3.429939504297664e-18,0.0002069417019815585,1.4006036803992027e-09,-7.024845958024372,-0.009839025103046397,1,8,hbo,True,S1_D8 hbo,mild_master_31,-0.007173975923150109,
619,az_itd=0_az=5,7.0,3.429939504297664e-18,7.106937281280024e-07,1.3940369220973783e-09,-16.574521830910495,-0.02310549539839827,1,8,hbo,True,S1_D8 hbo,mild_master_31,-0.08451783883437944,
620,az_itd=15_az=0,7.0,3.429939504297664e-18,1.463886590128183e-06,1.3917802538231577e-09,-14.9101147816376,-0.02075160333531999,1,8,hbo,True,S1_D8 hbo,mild_master_31,-0.011786541297975621,
621,az_itd=5_az=0,7.0,3.429939504297664e-18,0.00541788447179841,1.4055237030508186e-09,-3.9662957862986143,-0.005574722740953286,1,8,hbo,True,S1_D8 hbo,mild_master_31,-0.017806048903352342,
622,constant,7.0,3.429939504297664e-18,0.6076847833629544,1.7172190285223893e-09,-0.5373367705523582,-0.0009227249271172785,1,8,hbo,False,S1_D8 hbo,mild_master_31,,
