,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
574,Linear,7.0,5.555449004150225e-17,0.10144386153891934,7.101157919257033e-13,-1.8848262515648497,-1.3384448862723282e-06,1,7,hbo,False,S1_D7 hbo,mild_master_14,,
575,ShortHbO,7.0,5.555449004150225e-17,3.9924579766426775e-12,0.004367921693609309,94.23452094371234,411609.00831692194,1,7,hbo,True,S1_D7 hbo,mild_master_14,,
576,az_itd=0_az=15,7.0,5.555449004150225e-17,0.013317416723798098,5.524427810420018e-09,3.2891879913893076,0.01817088161333065,1,7,hbo,True,S1_D7 hbo,mild_master_14,0.011792476010272885,
577,az_itd=0_az=5,7.0,5.555449004150225e-17,0.48300744479235125,5.540411413420761e-09,0.7406443475031423,0.004103474396191982,1,7,hbo,False,S1_D7 hbo,mild_master_14,-0.016434514020865508,
578,az_itd=15_az=0,7.0,5.555449004150225e-17,1.5022434315854594e-07,5.5391144035841e-09,20.77850949750067,0.115094541242615,1,7,hbo,True,S1_D7 hbo,mild_master_14,0.12121598446230727,
579,az_itd=5_az=0,7.0,5.555449004150225e-17,6.264837747936862e-05,5.527393287903857e-09,8.481409760711538,0.0468800873833192,1,7,hbo,True,S1_D7 hbo,mild_master_14,0.11158078128109228,
580,constant,7.0,5.555449004150225e-17,0.30460948429154056,6.685750942184764e-09,-1.1076664565277272,-0.007405582055356711,1,7,hbo,False,S1_D7 hbo,mild_master_14,,
588,Linear,7.0,6.318194969006469e-17,0.6336171864831265,7.572967618738624e-13,-0.4981925509294699,-3.772796056085668e-07,1,8,hbo,False,S1_D8 hbo,mild_master_14,,
589,ShortHbO,7.0,6.318194969006469e-17,1.5356712813523707e-12,0.004658131803714359,108.02488476776188,503194.1513292905,1,8,hbo,True,S1_D8 hbo,mild_master_14,,
590,az_itd=0_az=15,7.0,6.318194969006469e-17,4.246783021779998e-05,5.891477614786954e-09,-9.00615209037811,-0.053059543435829366,1,8,hbo,True,S1_D8 hbo,mild_master_14,0.02429067851056469,
591,az_itd=0_az=5,7.0,6.318194969006469e-17,0.010096595348865142,5.908523188104955e-09,-3.4923510839081957,-0.02063463736027505,1,8,hbo,True,S1_D8 hbo,mild_master_14,-0.023533589639749365,
592,az_itd=15_az=0,7.0,6.318194969006469e-17,1.3878350217660427e-05,5.907140003333415e-09,10.67598397315092,0.06306453200274621,1,8,hbo,True,S1_D8 hbo,mild_master_14,0.09795068145350308,
593,az_itd=5_az=0,7.0,6.318194969006469e-17,0.5645387439889475,5.894640122256095e-09,-0.6045696927242855,-0.003563720767432612,1,8,hbo,False,S1_D8 hbo,mild_master_14,0.07348284764112624,
594,constant,7.0,6.318194969006469e-17,0.6699587221958501,7.129960489234379e-09,-0.44470373133959323,-0.0031707200338664003,1,8,hbo,False,S1_D8 hbo,mild_master_14,,
812,Linear,7.0,6.50739638823537e-17,0.0849922112500316,7.685519328202248e-13,-2.00498448215104,-1.5409346990317393e-06,3,5,hbo,False,S3_D5 hbo,mild_master_14,,
813,ShortHbO,7.0,6.50739638823537e-17,3.9052787933621294e-12,0.0047273623516065275,94.53241272536053,446888.9689243992,3,5,hbo,True,S3_D5 hbo,mild_master_14,,
814,az_itd=0_az=15,7.0,6.50739638823537e-17,0.009241103364646874,5.979038516958274e-09,3.558246701730092,0.02127489408248396,3,5,hbo,True,S3_D5 hbo,mild_master_14,-0.0018386962654787643,
815,az_itd=0_az=5,7.0,6.50739638823537e-17,0.04304410420556994,5.996337426684446e-09,2.4666444893020762,0.014790832669526981,3,5,hbo,True,S3_D5 hbo,mild_master_14,0.016823677078836783,
816,az_itd=15_az=0,7.0,6.50739638823537e-17,1.8786042257932862e-07,5.994933684607186e-09,20.115807501431227,0.12059293198340397,3,5,hbo,True,S3_D5 hbo,mild_master_14,0.06137489655000744,
817,az_itd=5_az=0,7.0,6.50739638823537e-17,3.1413942437413165e-06,5.982248026559176e-09,13.323717788203332,0.07970578444491078,3,5,hbo,True,S3_D5 hbo,mild_master_14,0.12083346038720479,
818,constant,7.0,6.50739638823537e-17,0.1350120512433667,7.235928094256977e-09,-1.6892986929645912,-0.012223643872014078,3,5,hbo,False,S3_D5 hbo,mild_master_14,,
826,Linear,7.0,2.84585588599466e-17,0.4800890388172425,5.082484232179843e-13,-0.7457801031065715,-3.790415614712608e-07,3,6,hbo,False,S3_D6 hbo,mild_master_14,,
827,ShortHbO,7.0,2.84585588599466e-17,1.175884850111944e-12,0.0031262356629140112,112.2261947716238,350845.53240818426,3,6,hbo,True,S3_D6 hbo,mild_master_14,,
