S,Channel,Time_Index,0,1,2,3
0,0,0,0.0005295694024596421,-0.00023278441246396206,-8.181724186089888e-06,-0.00011774268989275393
0,0,1,0.0005268592831415815,-0.000201698585563366,-3.6987417949688783e-06,-0.00012432348534955717
0,0,2,0.0005250372917903342,-0.00017294923941715948,-2.2886027254525515e-07,-0.00012914589595998375
0,0,3,0.0005237479469275116,-0.00014727825375586493,2.1147366478021024e-06,-0.0001321769327905412
0,0,4,0.0005225679708793658,-0.0001252468629387378,3.2656506548121105e-06,-0.00013340858247787852
0,0,5,0.0005210174213814931,-0.00010721362872624891,3.2128368603731894e-06,-0.00013286434604769886
0,0,6,0.0005185727076222771,-9.332303379948747e-05,2.0072928447768356e-06,-0.00013060290018292346
0,0,7,0.000514681031228801,-8.350475273659587e-05,-2.3382839751507166e-07,-0.00012671801559526355
0,0,8,0.0005087761250224849,-7.748352122966e-05,-3.326378039911561e-06,-0.00012133459395803827
0,0,9,0.0005002955109174146,-7.47991085894467e-05,-7.022289786091335e-06,-0.00011460148024001275
0,0,10,0.0004886995337910374,-7.483515850233461e-05,-1.1017020751234954e-05,-0.00010668247168289011
0,0,11,0.0004734920532719968,-7.685501654558957e-05,-1.4961422755840688e-05,-9.774724637992319e-05
0,0,12,0.0004542420537561315,-8.004245736948094e-05,-1.8477729019216576e-05,-8.796347409470392e-05
0,0,13,0.0004306048353246915,-8.35454250055876e-05,-2.117914400292806e-05,-7.749043616834414e-05
0,0,14,0.0004023411182733604,-8.652118095209567e-05,-2.26924237225134e-05,-6.647373316666849e-05
0,0,15,0.0003693324776320594,-8.818126243883026e-05,-2.2682502487311584e-05,-5.504057806559855e-05
0,0,16,0.0003315920329575035,-8.783430444873102e-05,-2.0877557713195318e-05,-4.329568666386544e-05
0,0,17,0.000289270093526055,-8.492434087641157e-05,-1.709225493491679e-05,-3.1318382532840494e-05
0,0,18,0.00024265519535426492,-7.9061985119516e-05,-1.1246705458100352e-05,-1.9161789937593627e-05
0,0,19,0.00019217135986212874,-7.004602476647285e-05,-3.379000022544783e-06,-6.8547829931462915e-06
0,0,20,0.00013837232552967157,-5.787352764966462e-05,6.350124276880102e-06,5.5931845791653715e-06
0,0,21,8.19330827623825e-05,-4.273762190010812e-05,1.7661094444748486e-05,1.8184830623509763e-05
0,0,22,2.3638588877185665e-05,-2.5013510501984228e-05,3.016758258930883e-05,3.092612206944304e-05
0,0,23,-3.563067037871623e-05,-5.234546875539427e-06,4.339589768434928e-05,4.3816344689975e-05
0,0,24,-9.49165343046533e-05,1.59391264680349e-05,5.681001848668705e-05,5.683768403561378e-05
0,0,25,-0.00015320454006637773,3.7756913527573624e-05,6.98399479346965e-05,6.994494230261611e-05
0,0,26,-0.0002094488740633682,5.941703308023227e-05,8.191064436012492e-05,8.305637148311017e-05
0,0,27,-0.00026260094639251913,8.010695570028006e-05,9.24688758669361e-05,9.604683854281018e-05
0,0,28,-0.00031164135432264873,9.904321946533926e-05,0.00010100613124106546,0.00010874427902511587
0,0,29,-0.0003556143689239834,0.00011550883872915451,0.00010707700798845864,0.00012092972515942232
