# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild_bici_1,13,2025-03-29,13,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/10__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-bash-gash-dash-dash-dash-gash-gash-gash-gash-gash-bash-dash-gash-dash-bash__r=dash-gash-gash-bash-gash-gash-gash-dash-dash-bash-gash-gash-dash-bash-gash-dash.wav,
mild_bici_1,14,2025-03-29,14,7,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0/10__side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=gash-gash-dash-gash-dash-gash-dash-bash-gash-gash-dash-gash-gash-gash-gash-gash__r=dash-dash-bash-gash-dash-bash-dash-dash-dash-dash-dash-dash-dash-bash-gash-bash.wav,
mild_bici_1,15,2025-03-29,15,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/10__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=gash-gash-gash-dash-dash-dash-dash-bash-gash-bash-dash-gash-gash-bash-gash-dash__r=dash-gash-bash-dash-gash-bash-gash-gash-dash-dash-dash-gash-gash-gash-dash-gash.wav,
mild_bici_1,16,2025-03-29,16,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/10__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-gash-dash-dash-gash-gash-gash-gash-bash-dash-dash-bash-dash-gash-dash-gash__r=dash-dash-bash-dash-bash-dash-dash-dash-dash-dash-dash-gash-dash-bash-dash-dash.wav,
mild_bici_1,17,2025-03-29,17,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/11__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-dash-dash-dash-gash-dash-dash-dash-bash-gash-gash-dash-gash-dash-dash-gash__r=gash-bash-gash-gash-dash-bash-gash-dash-gash-dash-bash-dash-gash-bash-gash-bash.wav,7365.238893032074,9679.804943084717
mild_bici_1,18,2025-03-29,18,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/11__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-dash-gash-bash-dash-gash-gash-gash-dash-bash-dash-gash-gash-dash-dash-gash__r=dash-dash-gash-dash-gash-dash-dash-bash-dash-gash-gash-bash-dash-dash-bash-gash.wav,
mild_bici_1,19,2025-03-29,19,3,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0/11__side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=gash-gash-gash-dash-bash-gash-bash-dash-dash-bash-dash-dash-dash-gash-gash-gash__r=gash-bash-dash-dash-dash-gash-gash-gash-gash-gash-dash-gash-gash-bash-dash-bash.wav,5219.829913139343
mild_bici_1,20,2025-03-29,20,7,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0/11__side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-dash-bash-gash-dash-dash-gash-dash-gash-dash-dash-dash-dash-dash-dash-gash__r=gash-gash-gash-dash-bash-dash-bash-gash-bash-gash-dash-gash-bash-dash-bash-gash.wav,3465.190469264984
mild_bici_1,21,2025-03-29,21,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/11__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=gash-gash-gash-gash-gash-gash-gash-gash-gash-gash-bash-gash-gash-gash-gash-dash__r=dash-bash-dash-bash-gash-bash-gash-dash-dash-gash-dash-gash-bash-gash-dash-dash.wav,2899.5747694969177
mild_bici_1,22,2025-03-29,22,8,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0/11__side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=dash-gash-gash-gash-dash-bash-dash-bash-dash-bash-gash-dash-gash-dash-dash-gash__r=dash-bash-gash-bash-dash-gash-dash-gash-gash-gash-dash-gash-dash-dash-gash-dash.wav,4572.179647922516
