# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici-color
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild-bici-color-1_snr-4,19,2025-05-08,19,36,side=r_itd=0_az=20_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=20_mag=0_lpf=0/0_side=r_itd=0_az=20_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,20,2025-05-08,20,17,side=r_itd=0_az=10_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=10_mag=0_lpf=0/0_side=r_itd=0_az=10_mag=0_lpf=0.wav,11763.52261698246
mild-bici-color-1_snr-4,21,2025-05-08,21,19,side=l_itd=0_az=50_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=50_mag=0_lpf=0/0_side=l_itd=0_az=50_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,22,2025-05-08,22,27,side=r_itd=0_az=60_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=60_mag=0_lpf=0/0_side=r_itd=0_az=60_mag=0_lpf=0.wav,7663.38829100132,11725.17292702198
mild-bici-color-1_snr-4,23,2025-05-08,23,20,side=r_itd=0_az=70_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=70_mag=0_lpf=0/0_side=r_itd=0_az=70_mag=0_lpf=0.wav,5314.062355041504
mild-bici-color-1_snr-4,24,2025-05-08,24,31,side=r_itd=0_az=30_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=30_mag=0_lpf=0/0_side=r_itd=0_az=30_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,25,2025-05-08,25,21,side=l_itd=0_az=30_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=30_mag=1_lpf=0/0_side=l_itd=0_az=30_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,26,2025-05-08,26,25,side=r_itd=0_az=50_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=50_mag=0_lpf=0/0_side=r_itd=0_az=50_mag=0_lpf=0.wav,11035.058322906494
mild-bici-color-1_snr-4,27,2025-05-08,27,7,side=l_itd=0_az=20_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=20_mag=0_lpf=0/0_side=l_itd=0_az=20_mag=0_lpf=0.wav,3388.5877709388733
mild-bici-color-1_snr-4,28,2025-05-08,28,12,side=l_itd=0_az=40_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=40_mag=1_lpf=0/0_side=l_itd=0_az=40_mag=1_lpf=0.wav,6278.25495493412,12047.539144992828
mild-bici-color-1_snr-4,29,2025-05-08,29,14,side=r_itd=0_az=90_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=90_mag=0_lpf=0/0_side=r_itd=0_az=90_mag=0_lpf=0.wav,5704.715561032295,8375.568832039833,9999.370204091072,11799.23709499836
mild-bici-color-1_snr-4,30,2025-05-08,30,5,side=r_itd=0_az=90_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=90_mag=1_lpf=0/0_side=r_itd=0_az=90_mag=1_lpf=0.wav,6864.687570095062,8292.127068042755
mild-bici-color-1_snr-4,31,2025-05-08,31,24,side=l_itd=0_az=20_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=20_mag=1_lpf=0/0_side=l_itd=0_az=20_mag=1_lpf=0.wav,3933.1563609838486,5597.766840934753
mild-bici-color-1_snr-4,32,2025-05-08,32,30,side=l_itd=0_az=60_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=60_mag=1_lpf=0/0_side=l_itd=0_az=60_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,33,2025-05-08,33,16,side=l_itd=0_az=30_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=30_mag=0_lpf=0/0_side=l_itd=0_az=30_mag=0_lpf=0.wav,11994.754389047623
mild-bici-color-1_snr-4,34,2025-05-08,34,8,side=r_itd=0_az=60_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=60_mag=1_lpf=0/0_side=r_itd=0_az=60_mag=1_lpf=0.wav,8343.352001905441,10276.734988927841,11764.76700592041
mild-bici-color-1_snr-4,35,2025-05-08,35,15,side=l_itd=0_az=10_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=10_mag=1_lpf=0/0_side=l_itd=0_az=10_mag=1_lpf=0.wav,3196.5980459451675,5916.6820340156555,10660.653643012047
mild-bici-color-1_snr-4,36,2025-05-08,36,29,side=l_itd=0_az=80_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=80_mag=0_lpf=0/0_side=l_itd=0_az=80_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,37,2025-05-08,37,35,side=l_itd=0_az=40_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=40_mag=0_lpf=0/1_side=l_itd=0_az=40_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,38,2025-05-08,38,22,side=r_itd=0_az=20_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=20_mag=1_lpf=0/1_side=r_itd=0_az=20_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,39,2025-05-08,39,33,side=l_itd=0_az=70_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=70_mag=0_lpf=0/1_side=l_itd=0_az=70_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,40,2025-05-08,40,1,side=r_itd=0_az=80_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=80_mag=1_lpf=0/1_side=r_itd=0_az=80_mag=1_lpf=0.wav,5697.00011909008,8313.068462014198,11713.07427406311
mild-bici-color-1_snr-4,41,2025-05-08,41,16,side=l_itd=0_az=30_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=30_mag=0_lpf=0/1_side=l_itd=0_az=30_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,42,2025-05-08,42,28,side=r_itd=0_az=80_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=80_mag=0_lpf=0/1_side=r_itd=0_az=80_mag=0_lpf=0.wav,3696.869349002838,5572.610794901848
mild-bici-color-1_snr-4,43,2025-05-08,43,29,side=l_itd=0_az=80_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=80_mag=0_lpf=0/1_side=l_itd=0_az=80_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,44,2025-05-08,44,25,side=r_itd=0_az=50_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=50_mag=0_lpf=0/1_side=r_itd=0_az=50_mag=0_lpf=0.wav,9897.405608057976,11889.343840956688
mild-bici-color-1_snr-4,45,2025-05-08,45,24,side=l_itd=0_az=20_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=20_mag=1_lpf=0/1_side=l_itd=0_az=20_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,46,2025-05-08,46,12,side=l_itd=0_az=40_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=40_mag=1_lpf=0/1_side=l_itd=0_az=40_mag=1_lpf=0.wav,
