2_side=r_itd=0_az=5_mag=0,2__side=r_itd=0_az=5_mag=0__l=bash-dash-bash-gash-gash-dash-gash__r=dash-dash-dash-dash-bash-dash-gash.wav,Target,dash,0,dash,46305,dash,70560,dash,105840,bash,141120,dash,187425,gash,211680
3_side=r_itd=0_az=5_mag=0,3__side=r_itd=0_az=5_mag=0__l=gash-dash-dash-bash-dash-dash-gash__r=gash-bash-dash-gash-dash-dash-bash.wav,Masker,gash,0,dash,35280,dash,70560,bash,105840,dash,141120,dash,187425,gash,211680
3_side=r_itd=0_az=5_mag=0,3__side=r_itd=0_az=5_mag=0__l=gash-dash-dash-bash-dash-dash-gash__r=gash-bash-dash-gash-dash-dash-bash.wav,Target,gash,11025,bash,46305,dash,81585,gash,116865,dash,152145,dash,176400,bash,222705
4_side=r_itd=0_az=5_mag=0,4__side=r_itd=0_az=5_mag=0__l=dash-gash-dash-gash-bash-dash-gash__r=bash-gash-dash-gash-gash-dash-bash.wav,Masker,dash,11025,gash,46305,dash,70560,gash,105840,bash,141120,dash,176400,gash,211680
4_side=r_itd=0_az=5_mag=0,4__side=r_itd=0_az=5_mag=0__l=dash-gash-dash-gash-bash-dash-gash__r=bash-gash-dash-gash-gash-dash-bash.wav,Target,bash,0,gash,35280,dash,81585,gash,116865,gash,152145,dash,187425,bash,222705
5_side=r_itd=0_az=5_mag=0,5__side=r_itd=0_az=5_mag=0__l=gash-dash-gash-bash-dash-dash-gash__r=dash-bash-gash-dash-dash-gash-bash.wav,Masker,gash,11025,dash,35280,gash,81585,bash,105840,dash,141120,dash,187425,gash,222705
5_side=r_itd=0_az=5_mag=0,5__side=r_itd=0_az=5_mag=0__l=gash-dash-gash-bash-dash-dash-gash__r=dash-bash-gash-dash-dash-gash-bash.wav,Target,dash,0,bash,46305,gash,70560,dash,116865,dash,152145,gash,176400,bash,211680
6_side=r_itd=0_az=5_mag=0,6__side=r_itd=0_az=5_mag=0__l=gash-dash-dash-gash-bash-gash-gash__r=bash-dash-bash-dash-gash-dash-dash.wav,Masker,gash,11025,dash,35280,dash,70560,gash,105840,bash,152145,gash,187425,gash,211680
6_side=r_itd=0_az=5_mag=0,6__side=r_itd=0_az=5_mag=0__l=gash-dash-dash-gash-bash-gash-gash__r=bash-dash-bash-dash-gash-dash-dash.wav,Target,bash,0,dash,46305,bash,81585,dash,116865,gash,141120,dash,176400,dash,222705
7_side=r_itd=0_az=5_mag=0,7__side=r_itd=0_az=5_mag=0__l=gash-dash-dash-gash-gash-dash-bash__r=bash-dash-gash-bash-gash-dash-gash.wav,Masker,gash,11025,dash,46305,dash,81585,gash,105840,gash,141120,dash,176400,bash,211680
