S,Trig,Condition
ildpilot7,4,side=r_itd=0_az=10_mag=0
ildpilot7,5,side=l_itd=0_az=30_mag=0
ildpilot7,6,side=r_itd=0_az=5_mag=1
ildpilot7,7,side=r_itd=0_az=30_mag=1
ildpilot7,8,side=l_itd=0_az=10_mag=1
ildpilot7,9,side=r_itd=0_az=5_mag=0
ildpilot7,10,side=l_itd=0_az=5_mag=0
ildpilot7,11,side=r_itd=0_az=30_mag=0
ildpilot7,12,side=l_itd=0_az=20_mag=1
ildpilot7,13,side=l_itd=0_az=20_mag=0
ildpilot7,14,side=l_itd=0_az=10_mag=0
ildpilot7,15,side=l_itd=0_az=5_mag=1
ildpilot7,16,side=r_itd=0_az=10_mag=1
ildpilot7,17,side=r_itd=0_az=20_mag=1
ildpilot7,18,side=l_itd=0_az=30_mag=1
ildpilot7,19,side=r_itd=0_az=20_mag=0
ildpilot7,1,Inhale
ildpilot7,2,Exhale
ildpilot7,3,Hold_Breath
ildpilot7,4,side=r_itd=0_az=10_mag=0
ildpilot7,5,side=l_itd=0_az=30_mag=0
ildpilot7,6,side=r_itd=0_az=5_mag=1
ildpilot7,7,side=r_itd=0_az=30_mag=1
ildpilot7,8,side=l_itd=0_az=10_mag=1
ildpilot7,9,side=r_itd=0_az=5_mag=0
ildpilot7,10,side=l_itd=0_az=5_mag=0
ildpilot7,11,side=r_itd=0_az=30_mag=0
ildpilot7,12,side=l_itd=0_az=20_mag=1
ildpilot7,13,side=l_itd=0_az=20_mag=0
ildpilot7,14,side=l_itd=0_az=10_mag=0
ildpilot7,15,side=l_itd=0_az=5_mag=1
ildpilot7,16,side=r_itd=0_az=10_mag=1
ildpilot7,17,side=r_itd=0_az=20_mag=1
ildpilot7,18,side=l_itd=0_az=30_mag=1
ildpilot7,19,side=r_itd=0_az=20_mag=0
